Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2018-07-31 00:04:25,0.801415145397,0.979122936726,0.992184460163,110,14,8,6,2,2,0,0,0,0,0,0,0,0,0,0,12.6,83.8,8.11,4583,4579,4580,4569
2018-07-31 00:09:25,0.523984253407,0.692060232162,0.753247797489,80,12,11,2,2,0,3,0,0,0,0,0,0,0,0,0,12.5,83.8,8.11,4584,4583,4584,4577
2018-07-31 00:14:25,0.647217571735,0.849331736565,0.881074726582,80,24,12,5,3,2,1,0,0,0,0,0,0,0,0,0,12.4,84.2,8.11,4584,4584,4586,4580
2018-07-31 00:19:25,0.57110363245,0.763883829117,0.802194654942,68,15,9,4,2,3,1,0,0,0,0,0,0,0,0,0,12.4,83.9,8.12,4584,4584,4586,4581
2018-07-31 00:24:25,0.753957569599,0.992453634739,1.02684962749,84,21,14,4,5,1,1,0,0,0,0,0,0,0,0,0,12.4,83.4,8.12,4584,4584,4586,4581
2018-07-31 00:29:25,0.456282913685,0.659783244133,1.38813984394,74,12,7,9,2,2,2,1,0,1,0,0,0,0,0,0,12.5,83.2,8.11,4583,4583,4584,4575
2018-07-31 00:34:25,0.447225898504,0.584954917431,0.598927795887,76,16,8,7,1,4,0,0,0,0,0,0,0,0,0,0,12.7,83.2,8.12,4582,4579,4578,4568
2018-07-31 00:39:25,0.636450052261,0.836560428143,0.904248416424,88,19,9,7,0,1,3,0,0,0,0,0,0,0,0,0,12.6,83.1,8.12,4582,4579,4578,4569
2018-07-31 00:44:25,0.774163067341,1.05018055439,2.51476097107,74,32,16,4,2,4,0,1,0,0,1,0,0,0,0,0,12.6,83.1,8.11,4583,4581,4581,4573
2018-07-31 00:49:25,0.60780698061,0.830902338028,0.869426250458,75,11,11,10,0,3,1,0,0,0,0,0,0,0,0,0,12.6,83.3,8.11,4583,4582,4583,4572
2018-07-31 00:54:25,0.656987011433,0.938842892647,1.15274477005,76,31,20,10,3,2,0,3,0,0,0,0,0,0,0,0,12.6,84.1,8.11,4583,4582,4583,4572
2018-07-31 00:59:25,0.701629161835,0.920361697674,0.934894144535,76,27,13,5,5,2,0,0,0,0,0,0,0,0,0,0,12.7,83.7,8.11,4580,4574,4571,4563
2018-07-31 01:04:25,0.752927720547,0.995940983295,2.25818705559,94,28,16,6,4,0,2,0,0,0,1,0,0,0,0,0,13.1,82.3,8.11,4563,4559,4561,4555
2018-07-31 01:09:25,0.743078529835,0.979442358017,1.04973196983,99,24,11,6,3,1,3,0,0,0,0,0,0,0,0,0,13.2,81.7,8.11,4557,4555,4558,4547
2018-07-31 01:14:25,0.959435939789,1.33912479877,1.48478019238,127,32,18,12,4,7,2,1,0,0,0,0,0,0,0,0,13.4,81.7,8.11,4552,4546,4550,4535
2018-07-31 01:19:25,0.956664323807,1.28281319141,1.37274491787,129,31,19,10,2,2,4,0,0,0,0,0,0,0,0,0,13.5,81.4,8.1,4543,4536,4539,4533
2018-07-31 01:24:25,1.09875512123,1.51757097244,1.68535041809,148,32,15,18,6,4,3,1,0,0,0,0,0,0,0,0,13.6,80.8,8.11,4539,4533,4536,4532
2018-07-31 01:29:25,1.2225600481,1.72179996967,2.52053642273,131,43,25,14,7,5,3,0,0,1,0,0,0,0,0,0,13.7,80.1,8.11,4535,4532,4535,4532
2018-07-31 01:34:25,1.06290900707,1.53885030746,1.65199124813,123,51,31,16,6,6,5,0,0,0,0,0,0,0,0,0,14,79.2,8.11,4531,4532,4534,4532
2018-07-31 01:39:25,1.10977101326,1.52871918678,1.61168467999,137,49,24,13,6,6,3,0,0,0,0,0,0,0,0,0,14,79.3,8.1,4531,4532,4534,4532
2018-07-31 01:44:25,1.06490194798,1.46641409397,1.62609696388,165,35,26,12,3,6,4,1,0,0,0,0,0,0,0,0,14,79.2,8.09,4531,4532,4534,4532
2018-07-31 01:49:25,1.194201231,1.66278815269,2.04890537262,150,44,33,13,2,5,3,1,1,0,0,0,0,0,0,0,14,79.2,8.1,4531,4532,4534,4532
2018-07-31 01:54:25,1.16545236111,1.62615036964,1.82277858257,153,52,34,19,6,2,3,2,0,0,0,0,0,0,0,0,14,79.6,8.1,4531,4532,4534,4532
2018-07-31 01:59:25,1.03905808926,1.34072840214,1.39736998081,139,43,19,3,5,4,2,0,0,0,0,0,0,0,0,0,14,79.7,8.09,4531,4532,4534,4532
2018-07-31 02:04:25,1.05250358582,1.40826392174,1.5170006752,183,43,30,12,6,5,2,1,0,0,0,0,0,0,0,0,14.1,79.3,8.09,4531,4532,4534,4532
2018-07-31 02:09:25,0.808815658092,1.06147670746,1.11546242237,138,42,16,13,5,1,3,0,0,0,0,0,0,0,0,0,14,79.4,8.09,4531,4532,4534,4532
2018-07-31 02:14:25,0.941767573357,1.31359553337,2.54405498505,135,53,22,15,7,4,0,3,0,2,0,0,0,0,0,0,14,79.9,8.09,4531,4532,4534,4532
2018-07-31 02:19:25,0.744444906712,0.979161202908,1.62208342552,123,27,16,8,4,1,1,1,0,1,0,0,0,0,0,0,14,80.1,8.1,4531,4532,4534,4532
2018-07-31 02:24:25,0.753665745258,0.941236376762,0.95270127058,138,27,13,10,4,2,0,0,0,0,0,0,0,0,0,0,13.9,80.3,8.09,4532,4532,4534,4532
2018-07-31 02:29:25,0.904459297657,1.3016217947,2.14832568169,113,30,16,9,0,4,7,0,0,1,0,0,0,0,0,0,13.8,80.6,8.09,4533,4532,4534,4532
2018-07-31 02:34:25,0.965855300426,1.3301435709,1.41718494892,141,26,29,9,4,3,4,0,0,0,0,0,0,0,0,0,13.8,80.6,8.09,4532,4532,4534,4532
2018-07-31 02:39:25,1.08185589314,1.49961483479,1.67042481899,160,39,23,10,4,8,4,1,0,0,0,0,0,0,0,0,13.8,80.9,8.09,4533,4532,4534,4532
2018-07-31 02:44:25,0.948595762253,1.3714621067,1.54326164722,119,48,26,13,4,6,5,1,0,0,0,0,0,0,0,0,13.7,81.5,8.09,4535,4532,4534,4532
2018-07-31 02:49:25,0.79521727562,1.14254105091,1.316832304,114,38,28,15,5,2,3,2,0,0,0,0,0,0,0,0,13.7,81.6,8.09,4537,4532,4534,4532
2018-07-31 02:54:25,0.666328668594,0.918489098549,1.00474047661,113,33,18,10,9,3,1,1,0,0,0,0,0,0,0,0,13.6,82,8.09,4538,4533,4535,4532
2018-07-31 02:59:25,1.0695348978,1.50626170635,1.6187608242,141,36,20,13,5,8,4,0,0,0,0,0,0,0,0,0,13.5,82,8.08,4541,4535,4535,4532
2018-07-31 03:04:25,0.840590775013,1.18522155285,1.25149667263,102,39,33,9,1,5,3,0,0,0,0,0,0,0,0,0,13.6,82.1,8.08,4540,4535,4536,4532
2018-07-31 03:09:25,1.09741413593,1.55244040489,1.73145210743,131,42,35,14,9,3,1,2,0,0,0,0,0,0,0,0,13.5,82.3,8.09,4546,4537,4539,4533
2018-07-31 03:14:25,0.984048843384,1.33851885796,1.40349245071,132,44,28,15,2,3,3,0,0,0,0,0,0,0,0,0,13.4,82.2,8.08,4550,4544,4545,4535
2018-07-31 03:19:25,1.20423710346,1.81310033798,2.11544275284,131,65,27,22,4,10,7,2,0,0,0,0,0,0,0,0,13.3,82.9,8.07,4553,4548,4549,4537
2018-07-31 03:24:25,1.20750081539,1.79637539387,2.52154374123,129,51,41,18,8,5,6,0,0,1,0,0,0,0,0,0,13.3,83.8,8.08,4554,4551,4552,4539
2018-07-31 03:29:24,1.31587994099,1.97091424465,2.37185120583,141,87,49,21,12,13,3,2,1,0,0,0,0,0,0,0,13.2,83.5,8.08,4554,4554,4555,4542
2018-07-31 03:34:24,1.59110081196,2.34045553207,2.616512537,160,80,44,19,6,9,9,1,0,0,0,0,0,0,0,0,13.3,83.2,8.08,4555,4553,4553,4540
2018-07-31 03:39:24,1.56867289543,2.24643087387,2.66294288635,170,65,36,22,10,10,2,1,1,0,0,0,0,0,0,0,13.2,84.4,8.07,4557,4554,4557,4546
2018-07-31 03:44:24,1.517983675,2.26356887817,2.5187125206,187,69,34,23,13,15,7,1,0,0,0,0,0,0,0,0,13.2,84.3,8.08,4558,4555,4558,4548
2018-07-31 03:49:24,1.91478610039,2.98388433456,3.90408229828,201,87,60,36,8,7,16,2,2,0,0,0,0,0,0,0,13.1,84.8,8.09,4558,4556,4559,4550
2018-07-31 03:54:24,1.77765500546,2.39215636253,2.64502882957,252,66,34,21,5,8,4,2,0,0,0,0,0,0,0,0,13.2,84.8,8.08,4557,4554,4557,4544
2018-07-31 03:59:25,1.47967028618,2.1036901474,2.44462680817,208,67,37,17,10,6,7,3,0,0,0,0,0,0,0,0,13.4,84.9,8.08,4552,4547,4550,4536
2018-07-31 04:04:25,1.80973565578,2.53912067413,2.76522016525,197,105,54,24,5,12,3,2,0,0,0,0,0,0,0,0,13.7,83.5,8.07,4542,4534,4538,4532
2018-07-31 04:09:25,1.79759383202,2.46709346771,2.63924765587,208,77,42,18,10,8,3,1,0,0,0,0,0,0,0,0,13.8,83.2,8.07,4537,4533,4536,4532
2018-07-31 04:14:25,1.72931981087,2.35975337029,2.57221245766,214,81,40,23,7,8,2,2,0,0,0,0,0,0,0,0,13.7,83.4,8.08,4535,4532,4536,4532
2018-07-31 04:19:25,1.74650835991,2.57845926285,3.41417765617,198,90,55,27,11,13,6,2,0,1,0,0,0,0,0,0,13.7,83.6,8.07,4537,4533,4537,4532
2018-07-31 04:24:25,1.88882124424,2.77076888084,3.75228500366,211,83,59,24,9,8,8,3,0,1,0,0,0,0,0,0,13.6,84.3,8.07,4539,4533,4537,4532
2018-07-31 04:29:25,1.98813605309,3.0189011097,4.1722445488,226,88,49,31,9,17,13,0,1,1,0,0,0,0,0,0,13.5,84.4,8.07,4542,4535,4539,4532
2018-07-31 04:34:25,1.94778263569,2.7772629261,3.33393120766,200,120,49,26,8,11,5,3,1,0,0,0,0,0,0,0,13.6,84.6,8.07,4541,4535,4538,4533
2018-07-31 04:39:25,2.04520225525,3.16698455811,4.28255701065,241,72,35,31,6,12,15,6,1,0,0,0,0,0,0,0,13.5,85,8.07,4547,4539,4544,4533
2018-07-31 04:44:25,1.74535882473,2.3877620697,2.57012438774,206,69,36,23,11,3,4,1,0,0,0,0,0,0,0,0,13.4,85.1,8.07,4551,4544,4549,4535
2018-07-31 04:49:25,1.69920253754,2.3540122509,2.7225394249,233,58,39,24,5,9,5,0,1,0,0,0,0,0,0,0,13.3,85.4,8.07,4554,4550,4554,4538
2018-07-31 04:54:25,1.80299592018,2.62576889992,3.0196249485,191,89,60,27,7,8,5,4,0,0,0,0,0,0,0,0,13.3,85.2,8.07,4555,4551,4556,4539
2018-07-31 04:59:25,1.96174120903,2.79113769531,3.24137997627,220,97,54,20,9,5,8,4,0,0,0,0,0,0,0,0,13.3,84.9,8.07,4555,4553,4558,4542
2018-07-31 05:04:25,1.8241174221,2.8240776062,3.41378688812,227,71,65,30,15,15,11,2,1,0,0,0,0,0,0,0,13.4,84.4,8.05,4555,4551,4556,4539
2018-07-31 05:09:25,1.85002803802,2.65537953377,3.5588953495,232,66,37,22,11,14,6,1,0,1,0,0,0,0,0,0,13.3,84.3,8.07,4556,4553,4557,4542
2018-07-31 05:14:25,1.99789810181,2.91312193871,3.48603034019,217,80,56,28,7,10,7,2,1,0,0,0,0,0,0,0,13.2,84.5,8.07,4558,4556,4559,4547
2018-07-31 05:19:25,1.74812018871,2.4679889679,2.80785965919,210,66,43,26,1,10,4,3,0,0,0,0,0,0,0,0,13.1,84.9,8.06,4559,4556,4560,4550
2018-07-31 05:24:25,2.06300806999,2.98876166344,3.50317692757,274,72,45,18,11,10,13,3,0,0,0,0,0,0,0,0,13.1,85,8.07,4559,4557,4560,4551
2018-07-31 05:29:24,1.77498269081,2.50578951836,3.18246078491,206,86,33,20,4,10,5,4,1,0,0,0,0,0,0,0,13.2,85,8.05,4559,4555,4559,4548
2018-07-31 05:34:24,1.63654720783,2.24076247215,2.68639445305,225,56,41,12,4,6,6,1,1,0,0,0,0,0,0,0,13.5,84,8.06,4553,4547,4554,4537
2018-07-31 05:39:24,1.69816887379,2.32087540627,2.52710366249,195,81,42,12,8,4,6,1,0,0,0,0,0,0,0,0,13.6,83.8,8.06,4544,4536,4541,4533
2018-07-31 05:44:24,1.67350709438,2.33955860138,2.98537421227,207,60,42,20,3,11,2,1,2,0,0,0,0,0,0,0,13.7,83.6,8.05,4538,4533,4538,4532
2018-07-31 05:49:24,1.76951110363,2.53057098389,5.61242961884,226,72,48,19,7,4,10,2,1,0,0,1,0,0,0,0,13.7,83.2,8.06,4534,4532,4536,4532
2018-07-31 05:54:24,1.56616032124,2.33095240593,2.64712381363,186,69,42,24,7,7,12,1,0,0,0,0,0,0,0,0,13.9,82.7,8.05,4532,4532,4536,4532
2018-07-31 05:59:24,1.47645354271,1.92994070053,2.13309407234,236,52,31,13,8,2,3,2,0,0,0,0,0,0,0,0,14,81.9,8.05,4531,4532,4536,4532
2018-07-31 06:04:24,1.60022032261,2.19149661064,2.34587264061,164,87,37,24,4,5,3,1,0,0,0,0,0,0,0,0,14.4,80.5,8.05,4531,4532,4535,4532
2018-07-31 06:09:24,1.64084088802,2.24880480766,2.69595336914,197,72,32,26,4,1,6,1,1,0,0,0,0,0,0,0,14.5,80.1,8.05,4531,4532,4535,4532
2018-07-31 06:14:24,1.46944081783,2.0400955677,2.24708867073,183,83,35,19,4,6,7,1,0,0,0,0,0,0,0,0,14.5,79.6,8.05,4531,4531,4535,4530
