Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2018-07-26 00:04:29,0.474472820759,0.703155398369,1.6064106226,108,30,18,6,6,2,4,3,0,2,0,0,0,0,0,0,17.8,55.5,8.19,4867,4802,6475,6580
2018-07-26 00:09:29,0.478841990232,0.689253747463,0.90331941843,95,45,12,8,7,2,6,0,1,0,0,0,0,0,0,0,17.7,56,8.2,4862,4825,6509,6583
2018-07-26 00:14:29,0.459823071957,0.623436152935,0.655773639679,119,30,13,12,6,4,2,0,0,0,0,0,0,0,0,0,17.6,56.4,8.19,4889,4856,6471,6522
2018-07-26 00:19:29,0.513969361782,0.72573184967,0.895028650761,119,37,13,13,6,2,3,3,0,0,0,0,0,0,0,0,17.5,56.7,8.19,4861,4853,6465,6533
2018-07-26 00:24:29,0.482237249613,0.736169338226,1.4299993515,124,31,22,9,2,6,7,1,2,1,0,0,0,0,0,0,17.4,57.1,8.19,4834,4864,6470,6504
2018-07-26 00:29:29,0.486166357994,0.719933748245,0.966681838036,116,39,12,12,10,3,6,1,1,0,0,0,0,0,0,0,17.4,57.2,8.19,4857,4854,6474,6493
2018-07-26 00:34:29,0.493563652039,0.812927007675,2.09529399872,108,27,13,12,0,8,9,2,2,0,1,0,0,0,0,0,17.3,57.4,8.19,4873,4848,6486,6539
2018-07-26 00:39:29,0.414267390966,0.646915793419,1.17496073246,100,26,16,10,5,5,5,3,0,1,0,0,0,0,0,0,17.2,57.6,8.19,4858,4840,6483,6426
2018-07-26 00:44:29,0.413405805826,0.65507632494,0.908213019371,77,29,20,10,2,7,5,1,1,0,0,0,0,0,0,0,17.1,57.6,8.19,4848,4794,6456,6549
2018-07-26 00:49:29,0.397783666849,0.626124560833,1.01385116577,91,26,10,17,7,2,5,1,2,0,0,0,0,0,0,0,17.1,57.6,8.18,4895,4821,6489,6527
2018-07-26 00:54:29,0.481257647276,0.704143822193,0.98754543066,89,44,10,12,7,3,3,2,1,0,0,0,0,0,0,0,17,57.6,8.19,4868,4841,6488,6498
2018-07-26 00:59:29,0.493717461824,0.742196679115,0.838452875614,103,27,15,11,8,3,7,0,0,0,0,0,0,0,0,0,17.1,57.3,8.19,4850,4846,6498,6568
2018-07-26 01:04:29,0.455151736736,0.746850848198,1.72075152397,106,30,12,12,9,7,4,3,3,1,0,0,0,0,0,0,17,57.7,8.19,4876,4829,6497,6549
2018-07-26 01:09:29,0.434180885553,0.665906310081,1.24441754818,96,30,19,9,8,3,5,1,1,1,0,0,0,0,0,0,16.9,58,8.19,4831,4847,6474,6529
2018-07-26 01:14:29,0.433472663164,0.684679090977,2.87084531784,93,30,14,14,5,6,4,2,1,1,0,1,0,0,0,0,16.9,58.2,8.18,4885,4814,6509,6531
2018-07-26 01:19:29,0.38071295619,0.612211167812,0.796772897243,92,19,12,13,12,3,4,3,0,0,0,0,0,0,0,0,16.8,58.4,8.18,4891,4825,6463,6410
2018-07-26 01:24:29,0.418655902147,0.740969121456,1.41814446449,83,25,13,9,3,9,8,2,3,0,0,0,0,0,0,0,16.8,58.5,8.19,4883,4778,6474,6549
2018-07-26 01:29:29,0.493104815483,0.793618261814,1.18606185913,106,34,13,9,4,8,8,3,1,0,0,0,0,0,0,0,16.8,58.4,8.18,4869,4804,6494,6553
2018-07-26 01:34:29,0.476857215166,0.710101306438,2.02688241005,93,29,20,10,7,5,1,1,1,1,1,0,0,0,0,0,16.7,58.5,8.19,4861,4793,6491,6503
2018-07-26 01:39:29,0.45789784193,0.69326210022,1.73846173286,85,38,14,6,7,4,3,3,1,0,1,0,0,0,0,0,16.7,58.5,8.19,4857,4808,6475,6522
2018-07-26 01:44:29,0.351926654577,0.527982652187,2.95979523659,88,21,12,11,7,3,2,2,0,1,0,0,0,0,1,0,16.6,59,8.18,4887,4781,6492,6550
2018-07-26 01:49:29,0.426842689514,0.668309569359,1.17915606499,92,24,14,13,7,2,5,0,3,0,0,0,0,0,0,0,16.5,59.2,8.18,4868,4796,6459,6570
2018-07-26 01:54:28,0.430611342192,0.631723046303,0.818538427353,95,19,19,8,5,6,2,0,1,0,0,0,0,0,0,0,16.5,59.2,8.17,4889,4823,6469,6547
2018-07-26 01:59:28,0.407581567764,0.650504529476,0.769553482533,88,28,17,14,6,7,6,1,0,0,0,0,0,0,0,0,16.5,59.1,8.18,4850,4838,6504,6470
2018-07-26 02:04:28,0.366892814636,0.575693190098,1.81497466564,75,27,12,13,4,5,4,0,1,1,1,0,0,0,0,0,16.4,59.2,8.17,4857,4834,6482,6539
2018-07-26 02:09:28,0.423838317394,0.633529067039,1.64758324623,85,32,16,10,4,3,4,0,2,0,1,0,0,0,0,0,16.4,59.5,8.17,4872,4799,6474,6557
2018-07-26 02:14:28,0.424388617277,0.768877029419,1.44690859318,73,26,15,17,5,12,5,4,0,1,0,0,0,0,0,0,16.3,59.9,8.18,4858,4815,6494,6474
2018-07-26 02:19:28,0.458599001169,0.725793600082,1.38189530373,93,25,20,10,4,5,6,1,1,1,0,0,0,0,0,0,16.2,60.1,8.17,4818,4853,6494,6537
2018-07-26 02:24:29,0.390486836433,0.636935889721,3.34213399887,102,16,13,9,9,7,4,2,2,0,0,0,1,0,0,0,16.2,60.6,8.17,4903,4788,6495,6592
2018-07-26 02:29:29,0.420369505882,0.717550814152,1.51092410088,100,18,13,15,5,6,6,4,1,1,0,0,0,0,0,0,16.2,60.3,8.17,4861,4791,6474,6481
2018-07-26 02:34:29,0.43193140626,0.771042585373,1.39517807961,90,32,15,10,2,6,8,9,1,0,0,0,0,0,0,0,16.2,60.6,8.17,4849,4808,6480,6553
2018-07-26 02:39:29,0.47604367137,0.732174813747,0.862632513046,83,39,22,8,6,4,7,1,0,0,0,0,0,0,0,0,16.1,60.8,8.16,4848,4791,6454,6438
2018-07-26 02:44:29,0.38702878356,0.61087179184,1.15841341019,86,29,14,10,8,4,3,4,0,1,0,0,0,0,0,0,16,60.8,8.18,4887,4808,6499,6456
2018-07-26 02:49:29,0.468318939209,0.744531750679,3.35766291618,101,28,14,14,6,6,3,4,0,2,0,1,0,0,0,0,16,61.1,8.17,4874,4819,6493,6598
2018-07-26 02:54:28,0.431267112494,0.601100027561,1.31259810925,90,32,20,13,1,1,2,0,0,2,0,0,0,0,0,0,16,61.3,8.17,4851,4807,6489,6550
2018-07-26 02:59:28,0.536556363106,0.811441600323,2.16870737076,96,19,25,9,7,5,2,1,0,1,1,0,0,0,0,0,16,61.2,8.17,4856,4821,6478,6558
2018-07-26 03:04:28,0.466864019632,0.71943372488,1.31612670422,102,33,15,12,5,3,5,4,0,1,0,0,0,0,0,0,16,61.5,8.17,4863,4835,6454,6566
2018-07-26 03:09:28,0.507767558098,0.757189750671,1.2675691843,93,42,13,17,8,5,2,2,0,1,0,0,0,0,0,0,16,61.6,8.15,4846,4848,6483,6565
2018-07-26 03:14:28,0.509844481945,0.880250990391,1.1270210743,85,31,17,17,5,8,10,2,0,0,0,0,0,0,0,0,16,61.6,8.17,4835,4800,6467,6516
2018-07-26 03:19:28,0.522891283035,0.837019205093,2.83014011383,93,32,24,16,10,6,2,1,0,5,0,0,0,0,0,0,15.9,61.8,8.16,4899,4825,6443,6554
2018-07-26 03:24:29,0.496830493212,0.792444944382,3.1707367897,109,28,22,11,5,5,5,3,2,1,0,1,0,0,0,0,15.9,61.8,8.16,4856,4796,6487,6592
2018-07-26 03:29:29,0.440460115671,0.688642799854,0.942878603935,86,33,17,12,4,7,5,1,1,0,0,0,0,0,0,0,16,61.7,8.17,4864,4805,6489,6547
