Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2018-08-09 00:04:03,1.12369227409,1.54125237465,2.0191180706,163,36,25,14,1,0,5,2,1,0,0,0,0,0,0,0,13,71.7,8.21,4562,4559,4553,4554
2018-08-09 00:09:03,1.14959275723,1.56668269634,1.65336859226,160,41,19,16,7,6,3,0,0,0,0,0,0,0,0,0,12.9,71.8,8.21,4569,4561,4556,4556
2018-08-09 00:14:03,1.00536251068,1.38105976582,1.58182644844,160,39,22,9,9,4,3,2,0,0,0,0,0,0,0,0,12.8,72.3,8.22,4576,4566,4559,4559
2018-08-09 00:19:03,0.986019313335,1.36644160748,1.47720742226,142,43,21,7,7,6,5,0,0,0,0,0,0,0,0,0,12.7,72.5,8.21,4578,4572,4562,4562
2018-08-09 00:24:03,0.877334952354,1.23541903496,3.82932567596,132,33,23,12,5,3,2,3,0,0,0,1,0,0,0,0,12.6,72.7,8.2,4581,4578,4568,4565
2018-08-09 00:29:03,0.947070360184,1.29699087143,1.47659802437,127,47,21,8,1,2,6,1,0,0,0,0,0,0,0,0,12.5,73.1,8.2,4583,4582,4574,4569
2018-08-09 00:34:03,1.18432438374,1.61432826519,1.69181168079,157,36,22,11,7,8,2,0,0,0,0,0,0,0,0,0,12.6,72.8,8.21,4583,4582,4575,4572
2018-08-09 00:39:03,1.00544941425,1.36582446098,1.46686077118,143,43,23,10,4,3,5,0,0,0,0,0,0,0,0,0,12.4,73.2,8.21,4584,4584,4578,4577
2018-08-09 00:44:03,0.900499761105,1.07899367809,1.12387478352,162,28,7,7,0,2,2,0,0,0,0,0,0,0,0,0,12.3,73.4,8.21,4584,4584,4582,4582
2018-08-09 00:49:03,0.79346549511,1.02654516697,1.06584513187,118,29,10,9,2,5,1,0,0,0,0,0,0,0,0,0,12.2,73.9,8.21,4584,4585,4584,4585
2018-08-09 00:54:03,0.973378002644,1.40947401524,1.56679999828,94,60,24,8,6,9,3,1,0,0,0,0,0,0,0,0,12.1,74.1,8.2,4584,4585,4584,4585
2018-08-09 00:59:03,1.07602405548,1.50295519829,1.66393113136,122,37,28,6,6,4,3,1,0,0,0,0,0,0,0,0,12,74.3,8.2,4584,4585,4584,4585
2018-08-09 01:04:03,0.979050278664,1.40335273743,2.13031029701,115,51,26,11,3,7,2,0,3,0,0,0,0,0,0,0,12.2,73.9,8.2,4584,4585,4584,4585
2018-08-09 01:09:03,0.971153378487,1.31583571434,1.62147021294,114,51,18,10,5,2,3,0,1,0,0,0,0,0,0,0,12.1,74,8.2,4584,4585,4584,4586
2018-08-09 01:14:03,0.98935008049,1.38229775429,1.5435833931,123,45,25,9,3,5,4,1,0,0,0,0,0,0,0,0,12,74.5,8.2,4584,4585,4584,4586
2018-08-09 01:19:03,0.879765570164,1.22958862782,3.97914886475,118,42,21,6,2,4,2,4,0,0,0,1,0,0,0,0,12,74.4,8.2,4584,4585,4585,4586
2018-08-09 01:24:03,0.751825213432,0.959404826164,1.04860687256,128,34,13,6,4,2,1,1,0,0,0,0,0,0,0,0,11.9,74.4,8.2,4584,4585,4585,4586
2018-08-09 01:29:03,0.848122179508,1.1279116869,1.24698853493,125,49,20,6,3,3,3,1,0,0,0,0,0,0,0,0,11.8,74.5,8.2,4584,4585,4585,4586
2018-08-09 01:34:03,0.948384046555,1.2826859951,1.36918210983,122,34,22,12,0,2,4,0,0,0,0,0,0,0,0,0,12,73.7,8.19,4584,4585,4585,4586
2018-08-09 01:39:03,0.678487598896,0.898268640041,0.962242603302,117,22,16,1,3,4,3,0,0,0,0,0,0,0,0,0,11.9,73.9,8.2,4584,4585,4585,4586
