Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2018-07-10 00:00:14,0.411824256182,0.65326821804,1.04522526264,86,24,13,16,5,6,3,1,2,0,0,0,0,0,0,0,15.9,64.3,8.3,4904,4818,6498,6531
2018-07-10 00:05:14,0.530735373497,0.834967553616,1.81239581108,104,31,11,20,6,6,4,0,3,1,0,0,0,0,0,0,15.9,64.2,8.3,4866,4749,6537,6483
2018-07-10 00:10:14,0.651344060898,1.02992963791,4.19326972961,116,48,24,18,10,8,5,3,1,1,0,0,0,1,0,0,15.8,64.1,8.3,4860,4814,6491,6463
2018-07-10 00:15:14,0.57375138998,0.90607470274,1.80361413956,88,38,26,19,6,3,7,0,0,2,0,0,0,0,0,0,15.8,64.2,8.29,4859,4745,6501,6456
2018-07-10 00:20:14,0.364401906729,0.657959103584,1.58408582211,73,26,13,12,6,6,5,5,2,1,0,0,0,0,0,0,15.8,64,8.28,4883,4820,6490,6408
2018-07-10 00:25:14,0.421916216612,0.750384688377,1.54491865635,74,37,15,14,4,5,10,4,1,1,0,0,0,0,0,0,15.7,64.2,8.3,4911,4802,6526,6504
2018-07-10 00:30:14,0.425537824631,0.823140442371,3.70178222656,79,37,16,14,11,15,6,6,2,1,3,0,0,0,0,0,15.8,63.9,8.29,4874,4801,6514,6467
2018-07-10 00:35:14,0.485491126776,0.790281176567,2.4490442276,73,38,28,13,6,3,10,0,0,0,0,1,0,0,0,0,15.8,64,8.29,4909,4788,6501,6475
2018-07-10 00:40:14,0.409003913403,0.691992878914,0.875147104263,75,23,23,15,6,3,8,2,0,0,0,0,0,0,0,0,15.7,64,8.29,4915,4783,6486,6443
2018-07-10 00:45:14,0.384575903416,0.627009093761,3.00586223602,76,25,17,10,9,3,5,2,1,0,0,0,0,0,1,0,15.7,64,8.28,4879,4766,6495,6502
2018-07-10 00:50:14,0.525483906269,0.865308463573,1.88053607941,99,28,27,10,7,8,3,3,3,1,0,0,0,0,0,0,15.7,64.2,8.29,4894,4787,6477,6494
2018-07-10 00:55:14,0.431572169065,0.711416661739,2.97340941429,91,27,14,9,5,7,4,3,3,0,0,1,0,0,0,0,15.7,64.3,8.28,4883,4806,6486,6471
2018-07-10 01:00:14,0.552171468735,0.892957150936,1.59618210793,97,32,28,18,5,5,6,2,1,1,0,0,0,0,0,0,15.8,64.1,8.28,4885,4813,6510,6521
2018-07-10 01:05:14,0.460561901331,0.74163299799,1.132635355,86,32,12,14,5,9,2,4,1,0,0,0,0,0,0,0,15.7,64.3,8.28,4852,4773,6464,6475
2018-07-10 01:10:14,0.394356846809,0.700893580914,1.06944656372,71,27,16,21,7,10,3,4,1,0,0,0,0,0,0,0,15.7,64.6,8.28,4841,4778,6491,6530
2018-07-10 01:15:14,0.430870264769,0.697392463684,2.11657762527,88,30,18,9,2,5,5,4,1,1,1,0,0,0,0,0,15.5,64.9,8.29,4872,4788,6518,6539
2018-07-10 01:20:14,0.386461436749,0.714312434196,1.76970911026,68,26,18,17,7,7,8,2,1,2,0,0,0,0,0,0,15.5,65.1,8.28,4855,4805,6486,6504
2018-07-10 01:25:13,0.489195793867,0.792404830456,1.03575968742,98,28,19,13,7,11,6,0,1,0,0,0,0,0,0,0,15.5,65.3,8.28,4870,4828,6498,6486
