C,epsilon,loss,temp_hum,window_size,mae,mse
2e-05,0.1,epsilon_insensitive,False,0,0.682215783166668,0.6019019356135723
2e-05,0.5,epsilon_insensitive,False,0,0.5233296019709273,0.37856256458830556
2e-05,1.0,epsilon_insensitive,False,0,0.3467883904384007,0.18675638404131478
2e-05,2.5,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
2e-05,5.0,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
0.0002,0.1,epsilon_insensitive,False,0,0.7828139140729575,0.7568337973656121
0.0002,0.5,epsilon_insensitive,False,0,0.599295420854796,0.4808691542738898
0.0002,1.0,epsilon_insensitive,False,0,0.34555358642684425,0.18192155688074838
0.0002,2.5,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
0.0002,5.0,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
0.002,0.1,epsilon_insensitive,False,0,0.7823477523545282,0.7560108559603563
0.002,0.5,epsilon_insensitive,False,0,0.5988841835920834,0.4802451032687373
0.002,1.0,epsilon_insensitive,False,0,0.3455599666635561,0.18196198162083985
0.002,2.5,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
0.002,5.0,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
0.02,0.1,epsilon_insensitive,False,0,0.7823477523545282,0.7560108559603563
0.02,0.5,epsilon_insensitive,False,0,0.5988841835920834,0.4802451032687373
0.02,1.0,epsilon_insensitive,False,0,0.3455599666635561,0.18196198162083985
0.02,2.5,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
0.02,5.0,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
0.2,0.1,epsilon_insensitive,False,0,0.7823477523545282,0.7560108559603563
0.2,0.5,epsilon_insensitive,False,0,0.5988841835920834,0.4802451032687373
0.2,1.0,epsilon_insensitive,False,0,0.3455599666635561,0.18196198162083985
0.2,2.5,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
0.2,5.0,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
2.0,0.1,epsilon_insensitive,False,0,0.7823477523545282,0.7560108559603563
2.0,0.5,epsilon_insensitive,False,0,0.5988841835920834,0.4802451032687373
2.0,1.0,epsilon_insensitive,False,0,0.3455599666635561,0.18196198162083985
2.0,2.5,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
2.0,5.0,epsilon_insensitive,False,0,0.9358867565016281,1.0966029744536514
