C,epsilon,loss,temp_hum,window_size,mae,mse
2e-05,0.1,epsilon_insensitive,False,0,2.154793574516151,5.875798441758749
2e-05,0.5,epsilon_insensitive,False,0,2.0395487735269024,5.344438178420521
2e-05,1.0,epsilon_insensitive,False,0,1.8325163647272082,4.457504881958638
2e-05,2.5,epsilon_insensitive,False,0,1.1088404519324588,1.6017422564963624
2e-05,5.0,epsilon_insensitive,False,0,2.6854132229587298,9.637595263182638
0.0002,0.1,epsilon_insensitive,False,0,3.375597727995828,12.645349833265609
0.0002,0.5,epsilon_insensitive,False,0,2.794460062893262,9.060190807745927
0.0002,1.0,epsilon_insensitive,False,0,2.1726215261644644,5.962487070483207
0.0002,2.5,epsilon_insensitive,False,0,1.1145418921157786,1.5799868537281156
0.0002,5.0,epsilon_insensitive,False,0,2.6854132229587298,9.637595263182638
0.002,0.1,epsilon_insensitive,False,0,3.3749970290530875,12.641758019579031
0.002,0.5,epsilon_insensitive,False,0,2.7940839930231234,9.058583355607317
0.002,1.0,epsilon_insensitive,False,0,2.172534622457433,5.962401402586498
0.002,2.5,epsilon_insensitive,False,0,1.1145743947693192,1.5800722846206567
0.002,5.0,epsilon_insensitive,False,0,2.6854132229587298,9.637595263182638
0.02,0.1,epsilon_insensitive,False,0,3.3749970290530875,12.641758019579031
0.02,0.5,epsilon_insensitive,False,0,2.7940839930231234,9.058583355607317
0.02,1.0,epsilon_insensitive,False,0,2.172534622457433,5.962401402586498
0.02,2.5,epsilon_insensitive,False,0,1.1145743947693192,1.5800722846206567
0.02,5.0,epsilon_insensitive,False,0,2.6854132229587298,9.637595263182638
0.2,0.1,epsilon_insensitive,False,0,3.3749970290530875,12.641758019579031
0.2,0.5,epsilon_insensitive,False,0,2.7940839930231234,9.058583355607317
0.2,1.0,epsilon_insensitive,False,0,2.172534622457433,5.962401402586498
0.2,2.5,epsilon_insensitive,False,0,1.1145743947693192,1.5800722846206567
0.2,5.0,epsilon_insensitive,False,0,2.6854132229587298,9.637595263182638
2.0,0.1,epsilon_insensitive,False,0,3.3749970290530875,12.641758019579031
2.0,0.5,epsilon_insensitive,False,0,2.7940839930231234,9.058583355607317
2.0,1.0,epsilon_insensitive,False,0,2.172534622457433,5.962401402586498
2.0,2.5,epsilon_insensitive,False,0,1.1145743947693192,1.5800722846206567
2.0,5.0,epsilon_insensitive,False,0,2.6854132229587298,9.637595263182638
