C,epsilon,loss,temp_hum,window_size,mae,mse
2e-07,0.001,epsilon_insensitive,False,0,1.471366857883215,3.705190285572793
2e-07,0.1,epsilon_insensitive,False,0,1.4995297034314854,3.8222568000137986
2e-07,0.5,epsilon_insensitive,False,0,1.57433401042643,4.108623654452685
2e-07,1.0,epsilon_insensitive,False,0,1.6926190261133351,5.0826931963771
2e-07,2.5,epsilon_insensitive,False,0,2.1547143442580903,7.414273911755292
2e-07,5.0,epsilon_insensitive,False,0,2.5942276209587294,9.227761384295142
2e-05,0.001,epsilon_insensitive,False,0,0.41095027304978865,0.3209352742853906
2e-05,0.1,epsilon_insensitive,False,0,0.40032983287238616,0.2959072503475645
2e-05,0.5,epsilon_insensitive,False,0,0.4733082352414069,0.3387302376006622
2e-05,1.0,epsilon_insensitive,False,0,0.7851405594271167,0.7581108548280349
2e-05,2.5,epsilon_insensitive,False,0,1.633154818401993,3.1948578921333985
2e-05,5.0,epsilon_insensitive,False,0,2.0075990263719037,6.752503174710756
0.0002,0.001,epsilon_insensitive,False,0,0.4142498962399721,0.32717724177275087
0.0002,0.1,epsilon_insensitive,False,0,0.402283658688509,0.3004151280564374
0.0002,0.5,epsilon_insensitive,False,0,0.47328911271398033,0.33871860778527735
0.0002,1.0,epsilon_insensitive,False,0,0.7851101743071363,0.7580718947229249
0.0002,2.5,epsilon_insensitive,False,0,1.626956313287193,3.1856668090606535
0.0002,5.0,epsilon_insensitive,False,0,1.60207487041227,3.1551757284756463
0.002,0.001,epsilon_insensitive,False,0,0.41425713789394736,0.32717725090838656
0.002,0.1,epsilon_insensitive,False,0,0.4022902667944111,0.3004181417253386
0.002,0.5,epsilon_insensitive,False,0,0.47318839405992685,0.33865745465556435
0.002,1.0,epsilon_insensitive,False,0,0.7849469788159837,0.7578628413943735
0.002,2.5,epsilon_insensitive,False,0,1.627014965225924,3.1852004075615867
0.002,5.0,epsilon_insensitive,False,0,3.3732100466622406,13.975905624180198
0.02,0.001,epsilon_insensitive,False,0,0.41429109160491895,0.3271773968963096
0.02,0.1,epsilon_insensitive,False,0,0.40232141489064105,0.30043252788682323
0.02,0.5,epsilon_insensitive,False,0,0.47271399320222535,0.338371703310045
0.02,1.0,epsilon_insensitive,False,0,0.7842294946607532,0.7569384480546505
0.02,2.5,epsilon_insensitive,False,0,1.6272063807226018,3.183714140748455
0.02,5.0,epsilon_insensitive,False,0,3.3731744546096856,13.975713744749768
0.2,0.001,epsilon_insensitive,False,0,0.4144153986309504,0.3271793822075954
0.2,0.1,epsilon_insensitive,False,0,0.4024347153530532,0.30048737430267825
0.2,0.5,epsilon_insensitive,False,0,0.4709903822829111,0.33735125920552617
0.2,1.0,epsilon_insensitive,False,0,0.7819073392201301,0.7536362671902936
0.2,2.5,epsilon_insensitive,False,0,1.6280733659872522,3.1776700395190125
0.2,5.0,epsilon_insensitive,False,0,3.3731744546096856,13.975713744749768
2.0,0.001,epsilon_insensitive,False,0,0.41479923537246355,0.3272020246601869
2.0,0.1,epsilon_insensitive,False,0,0.40284174036946047,0.3006687246500477
2.0,0.5,epsilon_insensitive,False,0,0.4654148503614288,0.33404919615958806
2.0,1.0,epsilon_insensitive,False,0,0.7735726463099735,0.7423535107306407
2.0,2.5,epsilon_insensitive,False,0,1.6197929745760131,3.126077387046044
2.0,5.0,epsilon_insensitive,False,0,3.3731744546096856,13.975713744749768
