C,epsilon,loss,temp_hum,window_size,mae,mse
2e-07,0.001,epsilon_insensitive,False,0,0.44375989377944836,0.25870678050703544
2e-07,0.1,epsilon_insensitive,False,0,0.4418695600347648,0.2571358185020874
2e-07,0.5,epsilon_insensitive,False,0,0.535476767623544,0.37821301439179
2e-07,1.0,epsilon_insensitive,False,0,0.6015812790853562,0.6561665353881192
2e-07,2.5,epsilon_insensitive,False,0,0.9440513640955814,1.1475629210423008
2e-07,5.0,epsilon_insensitive,False,0,0.9461073640955814,1.1513464850706188
2e-05,0.001,epsilon_insensitive,False,0,0.14214293989858373,0.04352731399168918
2e-05,0.1,epsilon_insensitive,False,0,0.18358664187485424,0.05681812156214885
2e-05,0.5,epsilon_insensitive,False,0,0.42281048148502715,0.23212384638168246
2e-05,1.0,epsilon_insensitive,False,0,0.6204626057591635,0.5465868950608709
2e-05,2.5,epsilon_insensitive,False,0,0.7760783729551659,0.8673018385668937
2e-05,5.0,epsilon_insensitive,False,0,0.9461073640955814,1.1513464850706188
0.0002,0.001,epsilon_insensitive,False,0,0.14214126613301295,0.043527306166062714
0.0002,0.1,epsilon_insensitive,False,0,0.18357889383360435,0.05681957147402501
0.0002,0.5,epsilon_insensitive,False,0,0.42279937412891244,0.2321130021913157
0.0002,1.0,epsilon_insensitive,False,0,0.6203519953815326,0.5464226742621731
0.0002,2.5,epsilon_insensitive,False,0,0.4784922630342525,0.3631815640894787
0.0002,5.0,epsilon_insensitive,False,0,0.9461073640955814,1.1513464850706188
0.002,0.001,epsilon_insensitive,False,0,0.14213279696252887,0.04352727037980825
0.002,0.1,epsilon_insensitive,False,0,0.18353974266096046,0.05682702674087041
0.002,0.5,epsilon_insensitive,False,0,0.4227434133029427,0.23205857841249
0.002,1.0,epsilon_insensitive,False,0,0.6198749153994787,0.5456681566960104
0.002,2.5,epsilon_insensitive,False,0,0.9612690349462255,1.235828862601501
0.002,5.0,epsilon_insensitive,False,0,0.9461073640955814,1.1513464850706188
0.02,0.001,epsilon_insensitive,False,0,0.14209882829043116,0.04352710504667925
0.02,0.1,epsilon_insensitive,False,0,0.18337925166079672,0.05685983543345383
0.02,0.5,epsilon_insensitive,False,0,0.4225374599881245,0.2318611110392197
0.02,1.0,epsilon_insensitive,False,0,0.6185614726564888,0.5436185820922549
0.02,2.5,epsilon_insensitive,False,0,0.9612690349462255,1.235828862601501
0.02,5.0,epsilon_insensitive,False,0,0.9461073640955814,1.1513464850706188
0.2,0.001,epsilon_insensitive,False,0,0.14199756721258164,0.0435280271593335
0.2,0.1,epsilon_insensitive,False,0,0.18288342877502597,0.05701007332463168
0.2,0.5,epsilon_insensitive,False,0,0.4220398653666592,0.23122088840586077
0.2,1.0,epsilon_insensitive,False,0,0.614580654374009,0.5366100288868219
0.2,2.5,epsilon_insensitive,False,0,0.9612690349462255,1.235828862601501
0.2,5.0,epsilon_insensitive,False,0,0.9461073640955814,1.1513464850706188
2.0,0.001,epsilon_insensitive,False,0,0.14183577155580498,0.04354990717704523
2.0,0.1,epsilon_insensitive,False,0,0.18273328692612217,0.05764081662460513
2.0,0.5,epsilon_insensitive,False,0,0.422101425542494,0.23072033136540537
2.0,1.0,epsilon_insensitive,False,0,0.6065153032414943,0.5189158333944579
2.0,2.5,epsilon_insensitive,False,0,0.9612690349462255,1.235828862601501
2.0,5.0,epsilon_insensitive,False,0,0.9461073640955814,1.1513464850706188
