C,epsilon,loss,temp_hum,window_size,mae,mse
2e-07,0.001,epsilon_insensitive,False,0,0.3141736488149044,0.12636091763804475
2e-07,0.1,epsilon_insensitive,False,0,0.31678449077943216,0.131170380221532
2e-07,0.5,epsilon_insensitive,False,0,0.45521936627821785,0.2856093909982429
2e-07,1.0,epsilon_insensitive,False,0,0.6153825382174954,0.5985380295872768
2e-07,2.5,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
2e-07,5.0,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
2e-05,0.001,epsilon_insensitive,False,0,0.12123194335261368,0.025023248892116788
2e-05,0.1,epsilon_insensitive,False,0,0.17185796071975804,0.040615314174738265
2e-05,0.5,epsilon_insensitive,False,0,0.38243481630724374,0.18185237690260117
2e-05,1.0,epsilon_insensitive,False,0,0.5849517104059876,0.4766939292203042
2e-05,2.5,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
2e-05,5.0,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
0.0002,0.001,epsilon_insensitive,False,0,0.12123155011254193,0.025023292938915045
0.0002,0.1,epsilon_insensitive,False,0,0.17185775614306295,0.04061521671780838
0.0002,0.5,epsilon_insensitive,False,0,0.3824530596838702,0.1818657962720977
0.0002,1.0,epsilon_insensitive,False,0,0.5847724691209158,0.47641531634044054
0.0002,2.5,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
0.0002,5.0,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
0.002,0.001,epsilon_insensitive,False,0,0.12122968072179008,0.025023504726301812
0.002,0.1,epsilon_insensitive,False,0,0.1718567867364541,0.04061476550383467
0.002,0.5,epsilon_insensitive,False,0,0.382537325911166,0.1819280056136925
0.002,1.0,epsilon_insensitive,False,0,0.5839569433473253,0.47512847094431726
0.002,2.5,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
0.002,5.0,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
0.02,0.001,epsilon_insensitive,False,0,0.12122197086967085,0.025024420046459397
0.02,0.1,epsilon_insensitive,False,0,0.17184851122560418,0.040611241505431155
0.02,0.5,epsilon_insensitive,False,0,0.38284049899559747,0.18215334277264975
0.02,1.0,epsilon_insensitive,False,0,0.5812081618062526,0.47081618569813855
0.02,2.5,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
0.02,5.0,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
0.2,0.001,epsilon_insensitive,False,0,0.1211978428859848,0.025028028314692054
0.2,0.1,epsilon_insensitive,False,0,0.1717868228277466,0.040591467154149345
0.2,0.5,epsilon_insensitive,False,0,0.38364398718890336,0.1827348132770637
0.2,1.0,epsilon_insensitive,False,0,0.5718544404584945,0.4561269235861609
0.2,2.5,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
0.2,5.0,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
2.0,0.001,epsilon_insensitive,False,0,0.121174143513995,0.025039721086671296
2.0,0.1,epsilon_insensitive,False,0,0.1716229388431487,0.04055238533616404
2.0,0.5,epsilon_insensitive,False,0,0.3848240460968904,0.18353545739859406
2.0,1.0,epsilon_insensitive,False,0,0.5718544404584945,0.4561269235861609
2.0,2.5,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
2.0,5.0,epsilon_insensitive,False,0,1.023627802890817,1.211357926355697
