phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion,battery
1540991156959,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,NaN,0,0,0
1540991185504,0.4183678,0.87831485,6.657988,24.1,31.9,67,29,16,12,7,11,10,7,2,2,0,1,0,1,0,0,165,0.0,0.0,0.0,NaN,0,6,355
1540991223135,0.31819475,0.49739614,0.7783219,24.1,31.9,61,39,15,9,6,3,5,0,2,0,0,0,0,0,0,0,140,0.0,0.0,0.0,NaN,0,0,355
1540991259462,0.45295528,0.8514328,3.590941,24.1,32.0,89,45,27,14,5,5,11,7,6,0,3,0,0,0,0,0,212,0.0,0.0,0.0,NaN,0,0,354
1540991295791,0.35605747,0.6116737,2.168607,24.1,31.800001,71,36,20,5,6,8,6,2,2,2,1,0,0,0,0,0,159,0.0,0.0,0.0,NaN,0,0,354
1540991331472,0.35611734,0.52414036,2.5303864,24.2,31.800001,69,36,18,9,5,5,3,0,0,0,0,0,1,0,0,0,146,0.0,0.0,0.0,NaN,0,0,354
1540991367802,0.45693055,0.66291934,0.97252774,24.2,31.800001,95,50,19,5,3,4,6,0,2,0,0,0,0,0,0,0,184,0.0,0.0,0.0,NaN,0,0,354
1540991404134,0.39411294,0.747421,2.2417848,24.2,31.7,73,37,24,12,8,15,9,1,4,1,1,0,0,0,0,0,185,0.0,0.0,0.0,NaN,0,0,354
1540991440462,0.39001083,0.6337082,3.121305,24.2,31.6,84,43,18,6,6,4,10,3,0,0,1,0,0,0,1,0,176,0.0,0.0,0.0,NaN,0,0,354
1540991477442,0.3256118,0.50896627,2.6845868,24.2,31.5,72,42,10,8,6,5,4,2,2,0,0,0,1,0,0,0,152,0.0,0.0,0.0,NaN,0,0,354
1540991513769,0.33948267,0.49666637,1.5685133,24.2,31.300001,75,40,11,6,3,4,3,1,1,1,1,0,0,0,0,0,146,0.0,0.0,0.0,NaN,0,3,354
1540991549453,0.3487515,0.503301,1.0969833,24.2,31.300001,81,37,12,4,0,6,3,0,2,1,0,0,0,0,0,0,146,0.0,0.0,0.0,NaN,0,1,354
1540991585785,0.34783387,0.5142046,4.842868,24.2,31.4,82,41,9,6,7,2,2,3,1,1,1,1,1,0,0,0,157,0.0,0.0,0.0,NaN,0,1,354
1540997718409,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.179981,55.9455437,120.68212890625,22.981,0,247,0
1540997746315,0.7152171,1.5042454,44.114246,23.0,45.9,105,47,21,17,7,15,8,13,4,9,4,2,4,4,1,2,263,-3.1800684,55.9455905,125.86627197265625,4.531,0,6490,355
1540997783940,0.7920897,1.7000567,83.02061,23.0,43.4,141,65,45,25,10,20,21,13,4,8,15,17,14,2,4,2,406,-3.1809479,55.9457354,122.5684814453125,3.813,0,16114,354
1540997820275,0.73308414,1.464926,61.98558,22.9,41.0,134,66,40,33,7,6,16,6,7,11,12,18,10,2,0,0,368,-3.1817609,55.9458729,125.18670654296875,4.333,0,14516,354
1540997856604,0.7129749,1.5801502,56.4053,22.7,38.7,136,61,33,33,12,15,14,12,12,10,14,14,4,3,2,2,377,-3.1827705,55.9458105,132.108642578125,3.747,0,18267,354
1540997894232,0.8039001,1.5811888,52.013874,22.4,38.3,169,68,43,27,6,11,14,8,8,17,10,15,7,2,0,0,405,-3.1836304,55.9454086,135.1572265625,3.931,0,18962,354
1540997931213,1.0053363,1.9217359,64.46907,22.2,38.0,205,101,45,33,3,16,17,13,10,13,16,14,5,5,4,1,501,-3.1844451,55.9451172,135.04327392578125,3.689,0,19215,354
1540997968203,0.7703774,1.5773277,53.100376,21.800001,37.9,153,72,38,26,16,16,15,6,13,8,18,9,6,2,4,1,403,-3.1852089,55.9446865,139.928955078125,3.0,0,18589,354
1540998005169,0.7698167,1.5297073,41.63334,21.6,37.8,161,79,31,23,15,15,21,12,6,4,11,12,3,3,2,0,398,-3.186081,55.9445571,135.20526123046875,3.482,0,19610,354
1540998042148,0.6886708,1.472979,56.850647,21.4,37.2,143,60,36,21,7,19,13,16,5,12,13,14,5,3,2,3,372,-3.1868388,55.9445873,142.677734375,7.281,0,19668,354
1540998078478,0.6922953,1.5056094,76.22081,21.1,37.600002,127,75,32,23,12,14,17,12,7,13,15,17,12,5,0,3,384,-3.1874763,55.9445277,150.1793212890625,14.393,0,10210,353
1540998115455,0.56314534,1.1670486,53.6189,21.0,38.0,121,49,29,15,10,7,15,14,4,3,12,9,9,3,1,4,305,-3.1876437,55.9445015,150.17938232421875,37.55,0,7790,354
1540998153080,0.5510813,1.0996057,8.371798,21.0,38.5,100,56,22,26,9,18,12,10,2,3,2,2,0,0,0,1,263,-3.18765,55.9445008,150.17938232421875,38.499,0,1110,354
1540998189415,0.579814,1.6385736,65.413734,20.9,40.100002,119,42,29,31,15,17,28,21,9,13,19,18,7,3,1,0,372,-3.18765,55.9445008,150.17938232421875,38.499,0,14064,354
1540998226394,0.24890785,0.50660384,16.334566,21.1,41.100002,57,22,10,7,4,4,6,4,3,3,4,3,3,1,0,0,131,-3.18765,55.9445008,150.17938232421875,38.499,0,4198,354
1540998263370,0.2008751,0.38717124,10.079771,21.4,41.100002,41,25,5,5,2,7,2,1,4,3,3,2,0,1,1,0,102,-3.18765,55.9445008,150.17938232421875,38.499,0,127,353
1540998299704,0.21008821,0.47813788,8.360059,21.4,41.3,55,16,8,4,4,4,9,7,4,0,2,0,2,1,0,0,116,-3.18765,55.9445008,150.17938232421875,38.499,0,3,354
