Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,latitude,longitude
2019-07-26 12:59:39.936000,14.3574562073,34.4836540222,58.9889831543,866,824,123,48,16,5,7,2,0,0,0,0,0,0,0,1,28.0,46.4000015259,55.9444879,-3.1874974
2019-07-26 13:00:17.565000,11.6504144669,26.3118000031,54.2640457153,526,1439,151,46,11,5,11,2,1,0,0,1,1,0,0,1,28.5,43.5,55.9444846,-3.187534
2019-07-26 13:00:55.188000,7.76250171661,17.3501491547,42.3777999878,874,1143,181,33,14,4,6,3,1,0,0,0,1,0,0,3,28.8999996185,43.2000007629,55.9445323,-3.1877684
2019-07-26 13:01:33.472000,4.23214673996,10.0447368622,26.4352073669,807,598,129,27,15,5,3,0,2,2,0,0,0,0,0,2,29.3000011444,42.7999992371,55.9450277,-3.188174
2019-07-26 13:02:12.403000,3.52304267883,8.39960002899,15.2146348953,336,790,89,27,11,8,4,1,1,0,0,0,1,0,0,0,29.6000003815,41.5,55.9454858,-3.1882571
2019-07-26 13:03:26.984000,2.33744096756,5.74453163147,25.4975986481,888,306,70,19,13,2,10,0,1,1,2,0,0,0,0,3,30.3000011444,41.2000007629,55.9462391,-3.1886216
2019-07-26 13:04:03.981000,0.525828957558,0.730123996735,0.736672103405,182,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6000003815,40.7000007629,55.9465557,-3.1880969
2019-07-26 13:04:41.610000,2.07338118553,6.92664718628,19.2576503754,497,222,61,23,14,8,10,5,0,2,0,0,0,0,0,0,30.7000007629,40.2999992371,55.9469605,-3.1878918
2019-07-26 13:05:18.584000,1.83477377892,6.42893648148,38.9792633057,459,184,58,35,15,9,4,4,1,3,0,0,0,2,2,1,30.8000011444,40.1000022888,55.9472611,-3.1881598
2019-07-26 13:05:56.214000,1.70157122612,5.598944664,35.4887542725,411,200,72,21,13,3,10,4,0,1,0,0,1,1,1,3,30.7000007629,39.5,55.9474982,-3.1885634
2019-07-26 13:06:33.841000,1.59594297409,5.0974650383,13.8280773163,423,203,55,27,13,5,5,3,2,0,1,0,0,0,0,0,30.6000003815,38.9000015259,55.947446,-3.1896815
2019-07-26 13:07:11.473000,1.67815899849,4.7606844902,14.820400238,409,227,65,18,11,6,1,2,2,1,0,0,0,0,0,1,30.6000003815,38.9000015259,55.9472494,-3.1903721
2019-07-26 13:07:49.096000,1.99419486523,5.89863300323,20.4864673615,535,259,65,22,9,9,7,4,0,0,1,1,0,0,0,1,30.6000003815,38.9000015259,55.9470503,-3.1910945
2019-07-26 13:08:27.275000,2.00900387764,5.54938030243,7.51801967621,377,308,69,23,12,8,0,1,0,0,0,0,0,0,0,0,30.6000003815,39.0,55.9465785,-3.1908647
2019-07-26 13:09:05.510000,0.782661378384,1.93038988113,6.33436870575,200,109,19,8,3,2,1,0,0,0,0,0,0,0,0,1,30.7000007629,39.2000007629,55.9463971,-3.1910556
2019-07-26 13:09:43.771000,2.08961820602,6.38041639328,45.9377670288,685,225,62,20,18,4,9,5,5,1,0,0,2,2,0,3,30.8000011444,39.2999992371,55.9459878,-3.1910742
2019-07-26 13:10:20.763000,1.8688031435,4.80169630051,13.2923412323,615,195,65,15,8,5,4,0,1,1,0,0,0,1,0,0,30.8000011444,39.2999992371,55.9455472,-3.1912023
2019-07-26 13:10:57.755000,2.06181716919,4.97444677353,14.6380023956,551,287,55,12,9,4,4,0,2,1,0,0,0,0,0,1,30.8999996185,38.6000022888,55.9452278,-3.1913945
2019-07-26 13:11:35.378000,3.16027903557,8.70409011841,63.5671310425,1240,294,78,29,14,11,13,3,6,4,4,1,4,1,1,0,31.0,39.4000015259,55.9451762,-3.1921367
2019-07-26 13:12:12.996000,1.70557868481,5.48467254639,32.159160614,423,205,56,20,14,3,8,4,3,2,1,0,1,0,0,2,31.1000003815,39.1000022888,55.9450745,-3.1928488
2019-07-26 13:12:50.627000,2.11648726463,7.63398122787,75.5506820679,661,243,66,25,17,15,12,7,8,2,2,3,1,0,4,4,31.2000007629,39.2000007629,55.9449841,-3.1936427
2019-07-26 13:13:28.298000,2.46896386147,6.26223611832,28.2278804779,717,293,62,26,14,2,6,0,0,1,0,2,0,0,0,3,31.3000011444,39.0,55.9448929,-3.1943898
2019-07-26 13:14:05.876000,2.58092832565,5.80956315994,10.1138286591,1085,248,52,14,6,7,7,2,0,0,0,0,0,0,0,0,31.3000011444,38.7999992371,55.944836,-3.1953491
2019-07-26 13:14:43.510000,1.60256052017,4.90531921387,28.2547721863,395,175,65,18,9,8,2,2,1,1,0,2,1,1,0,1,31.3000011444,38.5,55.9448424,-3.1960823
2019-07-26 13:15:21.135000,1.60489678383,4.46963787079,14.0340280533,355,213,55,17,4,3,7,2,0,1,0,0,0,0,0,1,31.3000011444,38.2000007629,55.9448235,-3.1969986
2019-07-26 13:15:58.756000,1.6960170269,4.83385562897,12.1047954559,377,219,71,15,11,4,4,1,0,1,0,1,0,0,0,0,31.3000011444,37.9000015259,55.9447875,-3.1975808
2019-07-26 13:16:36.393000,1.42230606079,3.5312166214,6.46457004547,352,182,44,12,5,2,2,1,1,0,0,0,0,0,0,0,31.3000011444,38.5,55.9447833,-3.1975849
2019-07-26 13:17:14.015000,1.42972552776,3.4340569973,10.1539573669,359,195,45,12,4,3,0,2,1,0,0,0,0,0,0,1,31.3999996185,37.7999992371,55.9448698,-3.197951
2019-07-26 13:17:51.644000,1.56304681301,5.22507667542,18.9827213287,340,179,57,15,2,7,11,6,0,1,0,1,0,0,0,0,31.3999996185,37.6000022888,55.9449049,-3.1985922
2019-07-26 13:18:29.276000,1.72995841503,3.06787204742,5.07647895813,508,155,7,6,2,2,0,0,1,0,0,0,0,0,0,0,31.5,37.1000022888,55.9448677,-3.1994612
2019-07-26 13:19:07.559000,2.06743526459,6.75843715668,33.4051895142,496,210,61,14,12,8,11,4,2,0,1,0,0,1,0,2,31.5,37.7000007629,55.9447278,-3.2001087
2019-07-26 13:19:45.179000,1.58687353134,4.47122240067,14.6352863312,379,189,44,17,7,6,4,0,0,0,0,0,0,1,0,1,31.5,37.6000022888,55.9445344,-3.2009819
2019-07-26 13:20:22.799000,1.6190829277,5.14277124405,26.2353305817,413,192,50,18,10,9,6,2,0,1,0,1,0,0,0,3,31.5,37.5,55.9443666,-3.2017311
2019-07-26 13:21:00.432000,1.47701311111,4.38924646378,21.4734382629,432,163,52,13,9,5,6,1,2,0,0,0,0,0,0,3,31.5,37.1000022888,55.9441803,-3.2024677
2019-07-26 13:21:38.057000,1.51691448689,4.92540693283,12.0044260025,327,211,50,20,12,9,4,2,0,0,0,0,1,0,0,0,31.5,36.7999992371,55.9439551,-3.2032231
2019-07-26 13:22:15.687000,1.33505642414,3.96858644485,12.4528722763,361,153,50,18,8,5,3,1,0,0,1,0,0,0,0,1,31.5,36.7999992371,55.9435685,-3.2026822
2019-07-26 13:22:53.311000,1.46571362019,4.37563705444,18.0134315491,418,175,41,18,11,4,5,2,1,5,0,0,0,0,0,0,31.5,37.6000022888,55.9431912,-3.2020474
2019-07-26 13:23:31.587000,1.5526484251,4.41822576523,17.3468093872,395,188,62,17,7,8,1,0,2,1,0,0,0,0,0,2,31.6000003815,37.9000015259,55.9428701,-3.2014301
2019-07-26 13:24:09.221000,1.55122220516,4.28193998337,12.5935287476,392,196,62,15,6,6,3,1,0,0,1,0,0,0,1,0,31.8000011444,37.7000007629,55.942548,-3.2009947
