Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2018-07-09 00:00:03,5.83671474457,11.4618816376,25.9809780121,4520,224,114,57,34,27,17,14,5,0,2,0,0,0,0,0,16.4,73.6,8.13,4437,4428,4427,4427
2018-07-09 00:05:03,5.13329935074,9.49537944794,19.7528152466,4335,161,109,56,26,31,13,8,2,1,0,0,1,0,0,0,16.3,73.7,8.14,4440,4431,4427,4427
2018-07-09 00:10:03,5.98865127563,11.1868429184,17.0689544678,4487,205,118,61,30,37,19,4,0,0,1,0,0,0,0,0,16.2,73.9,8.13,4443,4433,4428,4427
2018-07-09 00:15:03,6.25007772446,11.8117570877,18.8033676147,4626,188,134,66,39,47,8,6,5,0,0,0,0,0,0,0,16.2,74,8.14,4442,4433,4428,4427
2018-07-09 00:20:03,6.05147218704,12.4223031998,27.1873111725,4482,234,127,74,32,50,17,10,2,4,1,0,0,0,0,0,16.3,73.8,8.14,4442,4432,4427,4427
2018-07-09 00:25:03,5.46592664719,10.4308452606,21.9784603119,4630,200,104,50,35,26,22,8,3,1,0,0,1,0,0,0,16.3,74.1,8.13,4442,4432,4427,4427
2018-07-09 00:30:03,6.37235307693,12.1681060791,23.5600852966,4749,195,129,68,39,44,15,5,3,1,0,0,1,0,0,0,16.3,74.2,8.13,4442,4433,4427,4427
2018-07-09 00:35:03,5.57065486908,10.9298849106,20.3173122406,4678,247,116,59,35,38,21,9,2,1,1,0,0,0,0,0,16.2,74.5,8.14,4443,4433,4427,4427
2018-07-09 00:40:03,6.05902481079,12.609746933,20.4735794067,4645,186,111,68,48,44,26,5,3,1,0,0,0,0,0,0,16.3,74.5,8.13,4442,4431,4427,4427
2018-07-09 00:45:03,5.92240858078,10.8432664871,17.0233592987,4557,201,113,58,19,30,20,6,1,1,0,0,0,0,0,0,16.3,74.3,8.13,4439,4429,4427,4427
2018-07-09 00:50:03,6.48663282394,13.4402656555,24.7974834442,4791,151,108,64,34,31,29,11,4,1,0,0,0,0,0,0,16.5,74.3,8.13,4434,4427,4427,4427
2018-07-09 00:55:03,5.74833106995,11.489613533,28.2686634064,4797,241,119,44,34,29,27,9,6,4,1,0,0,0,0,0,16.4,74.4,8.13,4432,4427,4426,4427
2018-07-09 01:00:03,4.91102218628,8.67836761475,15.1540327072,4626,404,117,65,32,33,14,5,2,1,1,0,0,0,0,0,16.4,74.5,8.13,4435,4428,4427,4427
2018-07-09 01:05:03,6.20621061325,11.0945892334,20.085811615,4745,206,104,63,42,29,12,5,2,3,0,0,0,0,0,0,16.4,74.4,8.13,4435,4428,4427,4427
2018-07-09 01:10:03,5.7825551033,10.467549324,18.8195762634,4622,205,116,68,33,33,10,5,6,1,0,0,0,0,0,0,16.4,74.5,8.13,4437,4428,4427,4427
2018-07-09 01:15:03,4.60475444794,9.25877285004,17.9690113068,4448,356,120,78,30,41,22,9,4,1,1,0,0,0,0,0,16.3,74.5,8.13,4437,4428,4427,4427
2018-07-09 01:20:03,5.95732975006,11.5562829971,23.6337814331,4659,214,132,69,33,43,16,7,4,1,0,0,1,0,0,0,16.4,74.7,8.13,4436,4428,4427,4427
2018-07-09 01:25:03,6.79226636887,13.5470733643,28.8434524536,4825,166,91,49,36,47,14,10,7,0,0,1,0,0,0,0,16.3,74.6,8.13,4439,4430,4427,4427
2018-07-09 01:30:03,5.70623064041,11.4198122025,21.8887786865,4580,218,115,81,34,40,18,10,3,1,1,0,0,0,0,0,16.3,75,8.13,4440,4431,4427,4427
2018-07-09 01:35:03,5.87557077408,12.0873966217,23.0752391815,4664,220,131,80,31,51,22,8,2,2,1,0,0,0,0,0,16.3,74.9,8.13,4442,4432,4428,4427
2018-07-09 01:40:03,6.20123815536,11.8555049896,21.2321071625,4881,151,122,54,27,37,21,9,1,0,0,1,0,0,0,0,16.3,75,8.12,4441,4431,4427,4427
2018-07-09 01:45:03,6.08056545258,13.648686409,29.6321163177,4460,267,133,83,46,50,21,13,12,1,0,0,0,0,0,0,16.3,75,8.12,4440,4430,4427,4427
2018-07-09 01:50:03,6.17501211166,12.4146471024,27.8056907654,4942,187,127,70,40,43,19,10,4,3,0,1,0,0,0,0,16.4,75.2,8.13,4437,4429,4427,4427
2018-07-09 01:55:03,6.17750501633,12.1307182312,22.9295463562,4762,226,129,78,39,53,15,4,3,4,0,0,0,0,0,0,16.4,75.2,8.13,4436,4427,4427,4427
2018-07-09 02:00:03,6.13213443756,12.2084379196,20.6469688416,4671,243,130,77,46,41,20,7,2,2,0,0,0,0,0,0,16.4,75.5,8.12,4435,4428,4427,4427
2018-07-09 02:05:03,6.10110425949,12.8241739273,25.6086292267,4557,210,148,84,42,57,16,7,7,1,1,0,0,0,0,0,16.4,76,8.11,4436,4428,4427,4427
2018-07-09 02:10:03,6.87673091888,14.5042963028,28.79662323,4706,175,107,87,46,43,20,10,7,0,1,0,0,0,0,0,16.4,76,8.12,4436,4428,4427,4427
2018-07-09 02:15:03,6.13030719757,12.7124357224,27.0689964294,4675,239,122,84,42,44,26,7,1,4,0,1,0,0,0,0,16.3,75.9,8.11,4436,4428,4427,4427
2018-07-09 02:20:03,6.65133428574,14.3331289291,29.1544685364,4903,237,137,88,35,65,23,8,6,2,1,0,0,0,0,0,16.4,75.7,8.11,4438,4428,4427,4427
2018-07-09 02:25:03,5.76181316376,13.0666828156,26.7040500641,4632,411,151,109,49,64,29,14,2,3,0,1,0,0,0,0,16.2,76.2,8.13,4443,4435,4428,4427
2018-07-09 02:30:03,6.23736476898,13.0317173004,29.7966804504,4929,219,131,91,48,49,23,8,3,4,2,0,0,0,0,0,16.1,77.2,8.12,4447,4441,4433,4430
2018-07-09 02:35:03,6.63151359558,14.987326622,36.4498901367,4875,193,112,91,45,53,27,13,6,5,1,0,0,0,0,0,16.1,77.3,8.11,4449,4445,4438,4433
2018-07-09 02:40:03,5.73966550827,11.6464567184,22.2799739838,4767,291,173,71,52,48,17,8,7,2,0,0,0,0,0,0,16.1,77.1,8.11,4449,4445,4438,4434
2018-07-09 02:45:02,5.71372365952,12.8125839233,26.7382297516,4638,304,157,89,49,54,30,12,5,0,1,1,0,0,0,0,16.1,77.5,8.12,4449,4445,4438,4433
2018-07-09 02:50:02,6.39364957809,14.9890899658,31.6407737732,4759,233,138,86,53,58,34,13,4,3,1,0,0,0,0,0,16.2,77.1,8.11,4448,4443,4435,4432
2018-07-09 02:55:02,6.92839813232,14.0205183029,28.4674949646,4978,240,144,87,43,49,23,6,2,4,1,0,0,0,0,0,16.1,77.2,8.11,4448,4443,4435,4431
2018-07-09 03:00:02,7.0566110611,17.3803749084,49.418926239,4827,234,143,102,63,70,30,17,8,3,2,1,0,1,0,0,16.1,77.4,8.11,4448,4443,4434,4430
2018-07-09 03:05:02,6.71472167969,14.9863767624,33.9619445801,4974,189,143,67,44,49,37,8,7,1,1,1,0,0,0,0,16.1,77,8.11,4447,4441,4434,4429
2018-07-09 03:10:02,6.02518463135,13.0059909821,35.9676856995,4817,223,118,79,43,52,25,10,4,4,1,1,1,0,0,0,16.1,76.9,8.12,4447,4442,4433,4429
2018-07-09 03:15:03,6.68288230896,14.5110425949,31.1735496521,4768,143,118,81,43,42,26,13,2,5,0,0,0,0,0,0,16.2,76.6,8.11,4447,4440,4433,4429
2018-07-09 03:20:03,6.55358552933,14.8223657608,41.8138275146,4729,217,125,77,51,51,26,14,5,5,2,1,0,0,0,0,16.2,76.1,8.11,4445,4438,4430,4428
2018-07-09 03:25:03,5.97885322571,12.7567586899,25.2320404053,4836,197,120,84,35,53,23,9,7,2,0,0,0,0,0,0,16.1,76.2,8.11,4448,4443,4434,4430
2018-07-09 03:30:03,4.93802928925,9.89330768585,20.1168041229,4473,375,111,62,31,43,22,9,4,1,0,1,0,0,0,0,16,76.3,8.11,4450,4446,4440,4435
2018-07-09 03:35:03,6.31878376007,12.9811887741,30.3716125488,4486,200,123,77,30,50,21,5,2,6,1,0,0,0,0,0,16,76.3,8.11,4451,4447,4442,4439
2018-07-09 03:40:03,6.3359041214,12.9587116241,23.3034286499,4533,188,132,77,30,39,23,10,2,2,0,0,0,0,0,0,15.9,76.3,8.11,4451,4448,4443,4440
2018-07-09 03:45:03,6.20695447922,11.9597740173,25.6085929871,4545,173,92,63,30,41,15,6,3,3,1,0,0,0,0,0,16,76.2,8.11,4451,4448,4443,4439
2018-07-09 03:50:03,5.74233388901,11.5515727997,26.1814460754,4558,205,123,57,37,36,17,13,4,2,0,1,0,0,0,0,16.1,75.8,8.1,4449,4447,4439,4435
2018-07-09 03:55:03,5.91481304169,11.9843425751,32.1804351807,4761,185,98,52,34,36,23,10,5,2,2,1,0,0,0,0,16.1,76,8.11,4450,4446,4439,4436
2018-07-09 04:00:03,4.54711723328,9.92794036865,22.2954502106,4428,326,107,76,38,49,25,10,8,2,1,0,0,0,0,0,16,76.1,8.1,4449,4446,4441,4434
2018-07-09 04:05:03,5.19623947144,10.5511274338,20.7080097198,4465,168,103,58,41,40,19,9,3,0,0,0,0,1,0,0,16,76.1,8.1,4449,4446,4439,4435
2018-07-09 04:10:03,5.27710103989,11.2878217697,25.1796398163,4628,195,104,66,34,52,24,9,3,4,1,0,0,0,0,0,16,76.3,8.1,4449,4446,4440,4435
2018-07-09 04:15:02,6.07641220093,12.4591369629,27.8169498444,4618,149,95,58,33,45,18,12,2,1,1,1,0,0,0,0,16,76.4,8.1,4450,4446,4440,4435
2018-07-09 04:20:02,5.92748308182,12.0778474808,24.9765033722,4520,189,109,74,41,46,14,8,6,3,0,0,0,0,0,0,16.1,76.1,8.1,4449,4444,4437,4433
2018-07-09 04:25:02,5.8359951973,10.9078407288,26.2134494781,4564,145,88,67,21,24,20,8,2,1,3,0,0,0,0,0,16,76.1,8.1,4449,4446,4440,4435
2018-07-09 04:30:02,6.05365037918,12.382774353,23.7500762939,4423,122,108,64,33,39,21,8,2,3,0,0,0,0,0,0,16,76.4,8.11,4451,4447,4442,4438
2018-07-09 04:35:02,6.29243946075,11.9694519043,24.9122543335,4773,155,85,61,21,39,18,8,1,3,1,0,0,0,0,0,16,76.6,8.1,4451,4448,4444,4439
2018-07-09 04:40:02,6.69601631165,13.8342790604,28.434513092,4604,125,85,51,19,53,23,6,4,0,2,0,0,0,0,0,15.9,76.7,8.1,4451,4449,4445,4441
2018-07-09 04:45:03,5.4637131691,10.9413747787,23.4112167358,4453,186,88,66,35,27,20,11,5,1,1,0,0,0,0,0,15.9,78,8.1,4452,4450,4447,4444
2018-07-09 04:50:03,4.39433574677,8.4139547348,15.7276659012,4440,205,66,51,40,35,16,3,7,1,0,0,0,0,0,0,15.9,77.8,8.1,4452,4451,4447,4445
2018-07-09 04:55:03,6.76180839539,12.7999868393,39.6619262695,4703,127,74,43,19,34,16,10,2,5,2,1,0,0,0,0,15.8,77.8,8.1,4452,4452,4448,4447
2018-07-09 05:00:03,4.68972396851,9.29777812958,22.0979309082,4493,115,70,45,34,31,19,10,3,1,1,1,0,0,0,0,15.7,78,8.1,4452,4452,4450,4450
