Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2018-08-03 00:04:18,0.229806348681,0.336249709129,0.44748955965,42,6,3,2,0,2,2,1,0,0,0,0,0,0,0,0,18.6,86.5,8.21,4497,4484,4497,4481
2018-08-03 00:09:18,0.235752046108,0.299391537905,0.30747410655,51,4,3,1,3,2,0,0,0,0,0,0,0,0,0,0,18.5,86.5,8.21,4499,4485,4500,4482
2018-08-03 00:14:18,0.194526210427,0.250483870506,0.363554954529,48,6,2,1,1,0,0,2,0,0,0,0,0,0,0,0,18.4,86.6,8.21,4505,4486,4501,4483
2018-08-03 00:19:18,0.212344229221,0.255512982607,0.27026501298,56,6,2,2,1,0,1,0,0,0,0,0,0,0,0,0,18.4,86.4,8.2,4509,4487,4504,4483
2018-08-03 00:24:18,0.29664850235,0.352197051048,0.358297973871,78,15,2,1,3,2,0,0,0,0,0,0,0,0,0,0,18.4,86.6,8.2,4513,4489,4508,4484
2018-08-03 00:29:18,0.272093445063,0.350684821606,0.413353413343,69,14,5,2,2,1,1,1,0,0,0,0,0,0,0,0,18.3,87.2,8.2,4515,4490,4513,4485
2018-08-03 00:34:17,0.308465212584,0.37118652463,0.387753725052,71,14,4,2,0,1,1,0,0,0,0,0,0,0,0,0,18.5,86.8,8.19,4511,4488,4508,4484
2018-08-03 00:39:17,0.307303845882,0.385733932257,0.456778585911,70,10,2,1,0,4,0,1,0,0,0,0,0,0,0,0,18.4,86.6,8.2,4515,4490,4513,4485
2018-08-03 00:44:17,0.317418396473,0.383483976126,0.397171884775,73,17,7,1,1,0,1,0,0,0,0,0,0,0,0,0,18.3,86.9,8.2,4517,4497,4519,4487
2018-08-03 00:49:17,0.245003953576,0.344490557909,0.402234852314,62,9,6,5,3,4,0,1,0,0,0,0,0,0,0,0,18.2,86.8,8.19,4517,4506,4519,4490
