Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2018-08-08 00:03:53,2.23939442635,2.87579107285,4.38531064987,691,134,36,21,6,11,18,2,4,2,0,0,0,0,0,0,15,67.4,8.17,4878,4842,6458,6478
2018-08-08 00:08:53,2.55939030647,3.18578219414,10.0388269424,691,165,50,22,15,6,10,0,1,2,3,1,1,0,0,0,15,67.4,8.16,4874,4816,6481,6526
2018-08-08 00:13:53,1.10989022255,1.61334741116,4.50345849991,280,60,26,15,9,7,14,4,1,2,0,1,0,0,0,0,15.1,67,8.17,4914,4824,6496,6486
2018-08-08 00:18:53,3.60620522499,4.18336296082,6.83084917068,1350,117,34,13,6,7,13,2,3,4,1,0,0,0,0,0,15.1,66.7,8.17,4847,4832,6503,6471
2018-08-08 00:23:53,1.42589271069,1.84472048283,2.36615681648,428,76,33,22,6,11,7,2,0,1,0,0,0,0,0,0,15.1,66.8,8.16,4841,4818,6486,6507
2018-08-08 00:28:53,1.26437556744,1.56928408146,2.04891991615,373,58,15,14,5,5,3,3,2,0,0,0,0,0,0,0,15.2,66.8,8.17,4878,4894,6451,6478
2018-08-08 00:33:53,0.702370047569,1.04378759861,1.93502962589,158,40,28,21,3,7,6,3,0,0,1,0,0,0,0,0,15.1,67.2,8.17,4876,4843,6512,6509
2018-08-08 00:38:53,0.649474024773,0.996229469776,3.69809222221,122,42,19,19,14,4,6,2,0,0,0,0,1,0,0,0,15,67.6,8.15,4874,4861,6458,6563
2018-08-08 00:43:53,1.06522965431,1.50320458412,1.7818300724,275,57,30,22,17,5,8,4,0,0,0,0,0,0,0,0,14.9,67.8,8.16,4880,4843,6463,6497
2018-08-08 00:48:53,0.847085535526,1.20017063618,2.50428771973,179,60,22,22,7,4,5,3,0,1,1,0,0,0,0,0,14.8,68.1,8.16,4865,4865,6501,6480
2018-08-08 00:53:53,2.19361519814,2.76207399368,10.8903970718,708,113,31,28,19,12,6,4,2,1,3,1,1,0,0,1,14.7,69,8.15,4868,4922,6522,6567
2018-08-08 00:58:53,1.36896133423,1.8285959959,2.22804450989,410,73,32,21,6,9,12,3,1,0,0,0,0,0,0,0,14.7,69,8.15,4826,4892,6495,6498
2018-08-08 01:03:53,1.00663197041,1.37732827663,2.56106352806,266,55,27,14,12,8,7,1,0,1,1,0,0,0,0,0,14.6,69.1,8.15,4859,4857,6488,6482
