Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2019-07-04 00:03:22,1.63966143131,3.1888487339,8.99584293365,1551,154,58,13,10,8,3,2,4,1,0,0,0,0,0,0,14,65.2,7.69,4800,4798,6614,6705
2019-07-04 00:07:22,1.83872687817,3.4065144062,9.7064037323,1610,181,86,17,9,4,8,1,2,0,0,1,0,0,0,0,14.1,65.2,7.75,4812,4771,6608,6732
2019-07-04 00:11:22,1.53786838055,3.07318615913,10.2841997147,1557,153,67,19,17,8,6,1,1,0,1,0,0,0,1,0,14,65,7.75,4818,4792,6607,6739
2019-07-04 00:15:22,1.63926136494,2.77291798592,6.67422437668,1564,165,73,13,15,8,1,1,0,0,0,1,0,0,0,0,14,65.1,7.75,4801,4819,6623,6753
2019-07-04 00:19:22,1.78438162804,3.70205330849,5.94978284836,1487,164,58,19,14,8,8,1,1,0,0,0,0,0,0,0,13.9,65.7,7.65,4822,4834,6611,6748
2019-07-04 00:23:22,1.54719746113,2.95854520798,5.27966213226,1409,142,48,18,15,10,2,1,0,1,0,0,0,0,0,0,13.9,65.7,7.65,4822,4834,6611,6748
2019-07-04 00:36:30.367000,1.33807563782,2.63423275948,4.19742059708,1430,126,47,17,16,6,5,1,1,0,0,0,0,0,0,0,13.9,65.6,None,0,0,0,0
2019-07-04 00:36:30.495000,1.60303807259,3.08398151398,6.21927690506,1388,126,55,14,14,8,4,0,1,1,0,0,0,0,0,0,13.8,65.9,7.67,4820,4792,6612,6762
2019-07-04 00:39:40,1.47178649902,2.61811304092,7.19206857681,1442,168,49,14,13,4,6,0,0,0,0,0,1,0,0,0,13.8,65.9,7.67,4820,4792,6612,6762
2019-07-04 00:43:40,1.2349050045,2.58464980125,6.71169614792,1337,107,27,9,12,15,2,1,0,0,0,1,0,0,0,0,13.8,65.8,7.73,4812,4863,6614,6808
2019-07-04 00:47:39,1.62989079952,3.08232045174,3.64258527756,1494,160,51,14,14,14,2,0,0,0,0,0,0,0,0,0,13.8,65.8,7.73,4810,4818,6612,6744
2019-07-04 00:51:40,1.49415755272,2.99761581421,6.32216882706,1475,106,46,12,15,9,6,0,0,0,1,0,0,0,0,0,13.7,66.4,7.74,4815,4815,6608,6755
2019-07-04 00:55:40,1.44731068611,2.91971516609,6.1454410553,1454,107,33,17,16,3,8,0,1,1,0,0,0,0,0,0,13.6,67.1,7.64,4813,4813,6607,6700
2019-07-04 00:59:40,1.540599823,3.03779387474,4.05061388016,1477,140,47,11,12,12,4,1,0,0,0,0,0,0,0,0,13.6,67.1,7.64,4813,4813,6607,6700
2019-07-04 01:03:40,1.4941226244,3.36218309402,11.2732992172,1485,116,42,9,14,14,4,2,3,0,0,0,0,1,0,0,13.6,67.4,7.71,4819,4873,6615,6757
2019-07-04 01:07:40,1.47769355774,2.97847652435,3.92848110199,1462,87,35,8,15,7,7,0,0,0,0,0,0,0,0,0,13.6,67.5,7.73,4808,4822,6621,6785
2019-07-04 01:11:40,1.41473639011,2.77390170097,4.88831186295,1469,112,41,18,16,6,5,0,2,0,0,0,0,0,0,0,13.5,67.9,7.72,4812,4871,6605,6867
2019-07-04 01:15:40,1.41850507259,2.71268343925,4.16364860535,1476,109,36,10,8,11,4,0,1,0,0,0,0,0,0,0,13.4,68.5,7.63,4819,4817,6607,6706
2019-07-04 01:19:40,1.51298165321,3.22564315796,5.57628536224,1532,102,46,9,14,13,3,3,1,0,0,0,0,0,0,0,13.4,68.5,7.63,4819,4817,6607,6706
2019-07-04 01:23:40,1.57463765144,2.53381252289,4.48227834702,1391,126,34,14,11,5,0,0,2,0,0,0,0,0,0,0,13.5,68.3,7.73,4805,4787,6625,6702
2019-07-04 01:27:39,1.5028938055,3.12636995316,4.56452703476,1423,121,46,17,14,8,6,2,0,0,0,0,0,0,0,0,13.4,68,7.73,4822,4814,6622,6809
