Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2019-07-12 00:02:16.572000,1.77254772186,4.3001408577,9.90152931213,2260,195,44,16,17,26,8,3,6,0,0,0,0,0,0,0,16.6,74.3,None,0,0,0,0
2019-07-12 00:02:16.692000,1.95363092422,3.81498193741,6.93803548813,2334,227,57,16,10,14,9,3,0,1,0,0,0,0,0,0,16.6,74,7.1,4860,4956,6614,7099
2019-07-12 00:05:30,1.79059016705,3.6355073452,5.31384706497,2238,205,30,10,14,21,7,0,1,0,0,0,0,0,0,0,16.6,74,7.1,4860,4956,6614,7099
2019-07-12 00:09:30,1.94438767433,3.94153881073,13.4723300934,2227,178,49,15,17,12,8,1,4,0,1,1,0,0,0,0,16.6,74.1,7.19,4859,4935,6605,7010
2019-07-12 00:13:30,1.79825234413,3.94397735596,12.0448303223,2218,182,49,9,17,10,17,0,1,2,0,0,0,0,1,0,16.5,74.2,7.19,4860,4882,6602,6903
2019-07-12 00:17:30,1.7863959074,3.83178424835,10.8835773468,2169,215,33,10,18,19,6,3,1,2,1,0,0,0,0,0,16.4,74.5,7.18,4864,4943,6604,7063
2019-07-12 00:21:30,1.93759822845,4.07159233093,7.91743326187,2197,202,46,14,11,18,9,2,1,1,0,0,0,0,0,0,16.3,75.1,7.08,4859,4924,6611,6902
2019-07-12 00:25:30,2.13005566597,4.34505462646,6.30566596985,2549,220,54,18,23,17,11,0,1,0,0,0,0,0,0,0,16.3,75.1,7.08,4859,4924,6611,6902
2019-07-12 00:29:30,1.98487269878,3.42569947243,7.04147863388,2534,223,48,9,11,9,6,1,4,0,0,0,0,0,0,0,16.4,75.1,7.17,4854,4884,6605,6955
2019-07-12 00:33:30,2.03385043144,4.39739465714,12.5214185715,2419,223,55,18,19,12,11,4,3,3,0,0,0,0,0,0,16.4,75.1,7.18,4849,4925,6612,7019
2019-07-12 00:37:30,2.17612743378,4.16000270844,7.32578325272,2447,216,62,13,19,13,7,3,0,1,0,0,0,0,0,0,16.3,75.3,7.19,4864,4900,6608,6882
2019-07-12 00:41:30,2.01569342613,3.91128230095,9.86780643463,2578,228,34,9,20,9,11,2,2,0,0,1,0,0,0,0,16.2,75.8,7.07,4863,4899,6605,6875
2019-07-12 00:45:30,2.09106230736,3.97713971138,8.2889919281,2541,236,54,14,18,12,9,2,1,0,1,0,0,0,0,0,16.2,75.8,7.07,4863,4899,6605,6875
2019-07-12 00:49:30,2.09245920181,3.89793968201,5.30563306808,2520,235,47,21,19,13,7,2,0,0,0,0,0,0,0,0,16.2,75.6,7.18,4862,4902,6606,7004
2019-07-12 00:53:30,2.36035561562,4.77881765366,12.2077579498,2953,265,47,14,15,26,7,3,2,0,2,0,0,0,0,0,16.1,76.4,7.19,4850,4907,6596,6977
2019-07-12 00:57:30,2.41760969162,4.14744091034,9.41916465759,2977,277,66,16,13,15,4,2,3,0,1,0,0,0,0,0,16,76.2,7.18,4862,4890,6610,6965
2019-07-12 01:01:30,2.11306715012,4.10964155197,8.94686508179,2560,264,51,14,15,9,13,1,3,1,0,0,0,0,0,0,16,76.9,7.07,4858,4916,6607,6935
2019-07-12 01:05:30,2.4270222187,4.26553249359,9.28614711761,2732,287,59,10,22,10,6,2,2,0,1,0,0,0,0,0,16,76.9,7.07,4858,4916,6607,6935
2019-07-12 01:18:21.466000,2.18184542656,3.73021650314,6.8113527298,2599,291,53,12,19,11,4,2,1,1,0,0,0,0,0,0,15.9,77.2,None,0,0,0,0
2019-07-12 01:18:21.621000,2.40815019608,4.22929286957,11.6423254013,2851,342,68,7,15,13,7,2,2,2,1,0,0,0,0,0,15.9,77.5,7.09,4868,4944,6601,7032
2019-07-12 01:21:40,2.25423383713,3.90961384773,6.57412815094,2692,295,63,12,15,10,7,2,2,0,0,0,0,0,0,0,15.9,77.5,7.09,4868,4944,6601,7032
2019-07-12 01:25:40,2.3428235054,4.14555501938,8.37820053101,2793,298,63,17,15,12,7,3,0,2,0,0,0,0,0,0,16,77.6,7.17,4845,4896,6610,6898
2019-07-12 01:29:40,2.17605233192,3.67848992348,7.56409645081,2599,300,48,14,18,9,3,3,2,1,0,0,0,0,0,0,16,77.6,7.17,4856,4944,6605,7012
2019-07-12 01:33:40,2.05333042145,3.83195066452,11.416428566,2471,266,55,8,13,15,7,2,1,1,2,0,0,0,0,0,15.9,77.8,7.17,4864,4945,6600,7023
2019-07-12 01:37:40,2.29920649529,3.83171081543,6.38111066818,2671,338,66,9,17,8,6,2,2,0,0,0,0,0,0,0,15.9,78.2,7.07,4872,4944,6613,7059
2019-07-12 01:41:40,2.13865733147,3.65936541557,10.8824558258,2419,308,71,14,12,9,6,1,3,1,0,1,0,0,0,0,15.9,78.2,7.07,4872,4944,6613,7059
2019-07-12 01:45:40,2.21210479736,4.30254840851,9.22898483276,2351,313,56,14,13,11,8,4,4,0,0,0,0,0,0,0,16,77.9,7.16,4851,4876,6608,6888
2019-07-12 01:49:40,2.05551433563,3.64365196228,6.09848499298,2395,296,58,13,13,3,11,3,1,0,0,0,0,0,0,0,15.9,77.9,7.16,4871,4925,6611,6997
2019-07-12 01:53:39,2.04579615593,3.58560729027,10.4411249161,2407,293,44,15,16,8,8,1,1,0,1,1,0,0,0,0,15.9,77.9,7.17,4863,4913,6614,7005
2019-07-12 01:57:39,2.00509595871,3.32851457596,4.37849664688,2324,307,49,17,6,10,7,1,0,0,0,0,0,0,0,0,15.9,78.5,7.05,4867,4912,6605,6891
2019-07-12 02:01:40,1.78793895245,3.022336483,5.14257097244,2172,237,39,9,14,10,4,1,0,1,0,0,0,0,0,0,15.9,78.5,7.05,4867,4912,6605,6891
2019-07-12 02:05:39,1.88431239128,2.95831799507,5.23796272278,2197,272,51,15,10,5,4,2,0,1,0,0,0,0,0,0,15.9,78.3,7.17,4858,4900,6614,6887
2019-07-12 02:09:39,1.72077453136,2.65024137497,3.57515001297,2071,258,39,10,6,7,3,2,0,0,0,0,0,0,0,0,15.8,78.3,7.17,4856,4908,6611,6950
2019-07-12 02:13:39,1.9524794817,2.98104000092,5.19374704361,2279,311,50,8,12,4,3,2,2,0,0,0,0,0,0,0,15.8,78.6,7.16,4868,4882,6605,6860
2019-07-12 02:24:31.608000,1.89389872551,3.26564502716,8.78054428101,2283,260,54,8,9,6,6,3,3,0,1,0,0,0,0,0,15.9,79,None,0,0,0,0
2019-07-12 02:24:31.723000,1.85208070278,3.00975251198,5.26846790314,2054,264,36,11,12,4,5,1,2,0,0,0,0,0,0,0,15.8,79,7.07,4866,4908,6613,6928
2019-07-12 02:27:49,1.80009388924,2.65899538994,4.55157852173,2161,282,45,4,8,6,2,1,2,0,0,0,0,0,0,0,15.8,79,7.07,4866,4908,6613,6928
2019-07-12 02:31:49,1.73046994209,2.98771810532,5.47208595276,1888,224,44,9,14,7,4,2,0,1,0,0,0,0,0,0,15.9,79.1,7.15,4861,4933,6608,7052
2019-07-12 02:35:48,1.76435410976,3.35651087761,10.993013382,1978,233,37,12,7,9,7,3,2,1,0,1,0,0,0,0,15.9,78.8,7.15,4877,4916,6613,6892
2019-07-12 02:39:49,1.90575397015,2.82278060913,4.21548700333,2185,234,53,9,5,6,3,1,1,0,0,0,0,0,0,0,15.9,78.7,7.15,4862,4870,6615,6929
2019-07-12 02:43:49,1.93699729443,3.15664291382,4.55193805695,2102,247,56,13,11,6,6,0,1,0,0,0,0,0,0,0,15.9,79,7.05,4868,4892,6610,6853
2019-07-12 02:47:49,1.71253454685,2.73508739471,5.93247079849,2075,240,42,9,6,11,1,1,2,1,0,0,0,0,0,0,15.9,79,7.05,4868,4892,6610,6853
2019-07-12 02:51:49,1.8811725378,2.87822461128,3.40218758583,2054,274,42,11,9,7,4,0,0,0,0,0,0,0,0,0,16,78.7,7.14,4854,4885,6610,7067
2019-07-12 02:55:49,1.70931267738,2.57492947578,3.58578538895,2022,218,35,7,5,4,4,2,0,0,0,0,0,0,0,0,15.9,78.6,7.14,4868,4924,6609,7003
2019-07-12 02:59:48,1.64958930016,2.9135825634,3.79769825935,1964,223,52,5,6,11,8,0,0,0,0,0,0,0,0,0,15.9,78.8,7.15,4868,4886,6608,6924
2019-07-12 03:03:48,1.87292981148,3.09975767136,7.07205057144,2215,263,47,12,13,7,3,3,1,0,1,0,0,0,0,0,15.9,79,7.05,4856,4917,6614,6974
2019-07-12 03:15:45.706000,1.74074852467,3.01639485359,4.55975198746,2163,268,52,8,12,10,6,1,1,0,0,0,0,0,0,0,16,78.8,None,0,0,0,0
2019-07-12 03:15:45.827000,1.99321901798,3.39016771317,4.97889518738,2298,304,50,10,14,11,5,1,1,0,0,0,0,0,0,0,16,79,7.06,4869,4918,6605,6917
2019-07-12 03:19:03,2.01641082764,3.21573972702,5.47451972961,2098,296,64,10,12,4,5,1,2,0,0,0,0,0,0,0,16,79,7.06,4869,4918,6605,6917
2019-07-12 03:23:03,1.98770701885,3.32460737228,7.76221561432,2146,330,68,12,9,11,3,2,2,0,1,0,0,0,0,0,16,79.3,7.14,4858,4908,6610,7009
