Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2019-07-17 00:03:01,2.79065203667,4.09690761566,4.54806613922,3501,196,48,11,13,15,1,0,0,0,0,0,0,0,0,0,17.5,72.9,7.31,4789,4652,6617,6787
2019-07-17 00:07:01,2.68031978607,4.00466251373,9.49819564819,3174,168,44,9,18,10,2,0,0,1,0,1,0,0,0,0,17.5,72.9,7.3,4770,4622,6619,6563
2019-07-17 00:11:01,2.86566305161,5.19967126846,12.6830787659,2814,176,28,7,7,9,8,4,3,1,0,0,0,0,0,0,17.4,73.4,7.2,4792,4648,6616,6663
2019-07-17 00:15:01,3.12015557289,4.70905971527,11.2968540192,3674,235,47,10,15,12,1,2,2,1,1,0,0,0,0,0,17.4,73.4,7.2,4792,4648,6616,6663
2019-07-17 00:19:01,2.62554359436,3.89602041245,7.15652894974,3765,209,41,15,11,7,6,2,0,0,1,0,0,0,0,0,17.5,73.6,7.29,4768,4654,6619,6759
2019-07-17 00:23:01,2.75279974937,3.96527147293,8.62357711792,3717,223,41,10,10,9,4,1,1,0,0,1,0,0,0,0,17.5,73.6,7.3,4782,4673,6619,6782
2019-07-17 00:27:01,2.89928674698,4.78332996368,10.4622678757,3452,222,39,6,16,7,7,3,3,1,0,0,0,0,0,0,17.4,73.8,7.29,4772,4637,6630,6718
2019-07-17 00:31:01,3.2030582428,4.5485253334,5.97030115128,3794,231,53,15,8,10,4,0,1,0,0,0,0,0,0,0,17.4,74.3,7.2,4795,4639,6626,6630
2019-07-17 00:35:01,2.70733618736,4.31029129028,9.62357330322,4142,233,42,8,16,11,7,3,1,1,1,0,0,0,0,0,17.4,74.3,7.2,4795,4639,6626,6630
2019-07-17 00:39:01,3.00592780113,4.83629798889,7.34169816971,4055,255,38,10,13,10,7,6,0,0,0,0,0,0,0,0,17.4,74.4,7.3,4795,4665,6622,6764
2019-07-17 00:43:01,3.03011965752,4.50532388687,9.94044399261,3979,242,63,15,9,10,4,0,5,1,0,0,0,0,0,0,17.3,74.5,7.3,4783,4680,6623,6739
2019-07-17 00:47:01,3.16385984421,5.01622438431,7.79931497574,3685,262,41,14,12,13,6,1,2,0,0,0,0,0,0,0,17.2,74.9,7.29,4784,4657,6616,6669
2019-07-17 00:51:01,2.84163165092,4.59345293045,6.90196895599,3968,266,35,17,14,17,3,4,1,0,0,0,0,0,0,0,17.2,75.3,7.19,4788,4670,6633,6667
2019-07-17 01:02:53.524000,3.60907268524,5.58585166931,12.312081337,3330,198,40,12,10,12,5,1,0,0,0,0,1,0,0,0,17.2,75.2,None,0,0,0,0
2019-07-17 01:02:53.555000,3.0528280735,4.80569124222,6.20661878586,3862,233,46,12,10,12,9,1,0,0,0,0,0,0,0,0,17.1,75.6,7.21,4777,4671,6630,6652
2019-07-17 01:06:10,3.01415109634,4.92066669464,7.53313875198,4115,279,59,16,17,11,8,4,1,0,0,0,0,0,0,0,17.1,75.6,7.21,4777,4671,6630,6652
2019-07-17 01:10:10,3.0623486042,4.69652223587,6.43082094193,4040,259,50,10,15,14,5,1,1,0,0,0,0,0,0,0,17.1,75.5,7.28,4790,4639,6622,6564
2019-07-17 01:14:09,2.725440979,3.93458557129,8.32973098755,4070,271,47,11,12,10,5,0,1,1,1,0,0,0,0,0,17.1,75.5,7.28,4778,4631,6623,6540
2019-07-17 01:18:10,2.79496717453,4.16688537598,6.80975914001,3747,221,43,12,11,12,2,3,0,1,0,0,0,0,0,0,17,75.6,7.28,4794,4635,6633,6551
2019-07-17 01:22:10,3.12157702446,4.82279205322,7.44253826141,3854,251,51,15,18,5,6,4,1,0,0,0,0,0,0,0,16.9,76.4,7.19,4791,4660,6623,6650
2019-07-17 01:26:09,2.94399380684,4.27807617188,7.01562547684,3561,218,41,7,11,6,4,2,2,0,0,0,0,0,0,0,16.9,76.4,7.19,4791,4660,6623,6650
2019-07-17 01:30:10,2.69405889511,4.19594717026,9.17325782776,3772,238,44,14,13,12,4,3,1,0,0,1,0,0,0,0,17,76.4,7.27,4792,4630,6612,6527
2019-07-17 01:34:09,3.00521707535,4.24150896072,5.83756399155,3293,239,51,10,8,9,2,1,1,0,0,0,0,0,0,0,16.9,76.2,7.27,4788,4618,6625,6534
2019-07-17 01:38:10,3.33254265785,4.74434518814,10.1922426224,4071,252,64,19,21,4,4,1,1,0,0,0,1,0,0,0,16.9,76.3,7.27,4789,4624,6632,6600
2019-07-17 01:42:10,3.33023023605,5.22184705734,7.26098489761,3951,220,45,17,20,9,7,1,1,0,0,0,0,0,0,0,16.9,76.8,7.17,4796,4671,6626,6662
2019-07-17 01:48:48.468000,3.00179505348,4.86605072021,7.26338863373,4388,287,62,13,17,16,6,4,1,0,0,0,0,0,0,0,17,76.8,None,0,0,0,0
2019-07-17 01:48:48.677000,2.85094070435,4.54976892471,6.00565052032,3935,242,61,15,12,13,8,2,0,0,0,0,0,0,0,0,16.9,77,7.19,4802,4705,6621,6672
2019-07-17 01:52:04,2.89423060417,4.60321426392,8.77983856201,3931,274,61,9,17,17,5,0,2,0,1,0,0,0,0,0,16.9,77,7.19,4802,4705,6621,6672
2019-07-17 01:56:03,2.72436475754,3.89460277557,5.22417831421,3402,216,34,14,18,7,1,1,1,0,0,0,0,0,0,0,17,76.9,7.26,4798,4636,6619,6524
2019-07-17 02:00:04,3.32373929024,5.41626691818,11.3852710724,3509,219,45,11,16,9,8,1,2,0,1,0,0,0,0,0,17,76.6,7.26,4790,4671,6629,6593
2019-07-17 02:04:04,3.45155096054,5.56748628616,7.46823835373,3792,222,47,16,25,15,3,1,1,0,0,0,0,0,0,0,17,76.7,7.26,4782,4635,6627,6519
2019-07-17 02:08:04,2.83277797699,4.37581634521,6.99451065063,3725,229,48,8,19,14,1,3,0,1,0,0,0,0,0,0,16.9,77.2,7.17,4797,4684,6627,6672
2019-07-17 02:12:04,2.93969154358,4.89861822128,9.14974021912,4021,252,68,11,18,11,11,2,0,2,0,0,0,0,0,0,16.9,77.2,7.17,4797,4684,6627,6672
2019-07-17 02:16:03,3.00004935265,4.81207084656,7.60591506958,3819,239,41,5,14,12,8,1,2,0,0,0,0,0,0,0,17.1,76.9,7.25,4799,4615,6632,6541
2019-07-17 02:20:03,3.13492178917,4.81212043762,8.15933895111,3689,254,50,9,9,9,8,0,3,0,0,0,0,0,0,0,17.1,76.8,7.25,4786,4654,6627,6568
2019-07-17 02:24:04,2.89406061172,4.4525513649,8.25361633301,3979,264,54,16,18,7,6,2,2,1,0,0,0,0,0,0,17,76.8,7.26,4785,4624,6612,6521
