Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2019-07-18 05:48:32.573000,2.911028862,10.1444320679,26.6796264648,2151,159,56,30,55,43,17,8,6,0,0,0,1,0,0,0,13.4,83.7,None,0,0,0,0
2019-07-18 05:48:32.702000,2.68431019783,9.65362453461,22.7468719482,2068,136,62,27,56,45,25,3,2,1,0,0,0,1,0,0,13.8,82.9,6.38,4746,4862,5713,6220
2019-07-18 05:51:50,2.53540492058,9.52866077423,22.8301143646,1962,114,69,22,49,49,20,7,4,0,0,1,0,0,0,0,13.8,82.9,6.38,4746,4862,5713,6220
2019-07-18 05:55:50,2.80290269852,9.54202365875,17.878162384,2207,122,69,31,58,39,25,3,2,1,0,0,0,0,0,0,22.3,81.5,6.45,4770,4839,6231,6460
2019-07-18 05:59:50,2.5518014431,6.66922855377,11.8717021942,2327,156,60,23,43,20,18,1,1,1,0,0,0,0,0,0,14.5,80.8,6.46,4771,4857,6389,6490
2019-07-18 06:03:50,2.55786752701,7.69857931137,15.2919664383,2436,148,68,31,39,31,24,2,5,0,0,0,0,0,0,0,14.6,80.7,6.5,4749,4829,6478,6486
2019-07-18 06:07:50,2.40217351913,6.8286151886,11.3157625198,2490,143,63,27,41,30,22,1,2,0,0,0,0,0,0,0,14.7,81,6.3,4739,4896,6521,6649
2019-07-18 06:11:49,3.1996281147,7.39141130447,19.9798412323,3658,239,62,26,31,32,17,4,1,2,1,1,0,0,0,0,14.7,81,6.3,4739,4896,6521,6649
2019-07-18 06:15:49,2.34479904175,6.5569357872,15.0198125839,2321,119,61,29,37,19,19,5,2,2,0,0,0,0,0,0,14.8,80.8,6.42,4733,4856,6560,6684
2019-07-18 06:19:49,1.95657157898,4.88108205795,6.77298545837,2125,112,50,19,28,25,11,1,0,0,0,0,0,0,0,0,14.9,80.3,6.41,4733,4863,6585,6630
2019-07-18 06:23:49,2.32434916496,6.32309532166,11.7363119125,2133,137,52,24,32,29,12,3,1,1,0,0,0,0,0,0,14.9,80,6.41,4721,4862,6598,6603
