Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2019-07-26 00:00:29,7.57764148712,26.6965866089,69.8865280151,7130,1034,375,140,188,190,88,23,14,6,4,1,1,0,0,0,20.5,71.5,8.03,4753,4811,6542,7171
2019-07-26 00:04:29,7.86784648895,28.8708286285,84.1250228882,6487,917,328,121,190,145,96,33,11,7,6,2,0,0,0,0,20.6,71.8,7.94,4762,4820,6540,6990
2019-07-26 00:08:28,7.44475030899,26.2895584106,79.7614059448,6567,975,318,129,190,150,72,29,25,12,1,1,0,0,0,1,20.6,71.8,7.94,4762,4820,6540,6990
2019-07-26 00:21:17.329000,7.78832006454,26.9218730927,69.0078277588,6466,933,342,119,164,144,88,21,14,5,0,1,2,0,0,0,20.7,72.1,None,0,0,0,0
2019-07-26 00:21:17.467000,7.88824033737,27.1149654388,71.9147415161,6578,919,387,98,162,150,87,18,16,10,1,0,0,1,0,0,20.6,73.2,7.95,4769,4836,6563,6990
2019-07-26 00:24:36,8.209025383,27.4953670502,82.3341369629,6773,1009,356,127,175,152,80,15,19,10,4,1,1,0,0,0,20.6,73.2,7.95,4769,4836,6563,6990
2019-07-26 00:28:36,7.81236600876,27.5567550659,62.8196754456,6902,1021,337,112,209,170,90,19,14,6,2,0,0,0,0,0,20.7,73.2,8.01,4759,4803,6553,6812
2019-07-26 00:32:36,7.7837228775,27.156747818,68.3453521729,6770,1044,335,133,195,165,87,18,19,5,1,0,2,0,0,0,20.7,72.8,8.01,4767,4807,6538,6877
2019-07-26 00:36:36,7.97804403305,26.9580783844,73.9348068237,6870,1020,362,137,214,169,73,19,14,6,1,3,1,1,0,0,20.6,72.6,8.01,4768,4751,6553,6806
2019-07-26 00:40:36,8.19703292847,28.1626853943,79.4975280762,7071,984,383,141,229,175,75,19,19,7,4,3,0,0,0,0,20.7,72.7,7.94,4770,4820,6544,6961
2019-07-26 00:44:36,7.81390142441,27.1384887695,71.045211792,6858,1028,334,120,221,150,84,24,16,8,3,0,0,0,0,1,20.7,72.7,7.94,4770,4820,6544,6961
2019-07-26 00:48:36,8.66668891907,30.3948478699,93.9598007202,7020,1089,369,144,184,163,96,21,23,10,2,1,1,2,0,0,20.7,72.4,8.01,4769,4816,6555,6886
2019-07-26 00:52:36,7.99470567703,28.2390537262,85.8235015869,7152,1001,389,113,188,173,84,25,27,9,4,2,0,0,0,0,20.7,72.3,8.01,4770,4808,6544,6893
2019-07-26 00:56:36,8.15706443787,27.0687732697,76.2177124023,7102,1076,383,150,187,156,84,16,23,4,2,2,1,1,0,0,20.7,72.3,8.01,4769,4786,6545,6774
2019-07-26 01:00:36,7.72904586792,26.2395839691,73.7244567871,6766,1002,338,155,175,158,85,19,10,10,0,4,1,0,0,0,20.7,72.7,7.92,4774,4840,6564,6951
2019-07-26 01:04:35,7.49793958664,25.8724021912,65.8848953247,6573,988,332,126,188,147,91,15,16,5,2,1,1,0,0,0,20.7,72.7,7.92,4774,4840,6564,6951
2019-07-26 01:08:36,7.48944711685,25.0048160553,61.8241081238,7202,1066,347,136,196,151,87,20,15,5,3,0,1,0,0,0,20.7,73.1,8.01,4774,4810,6549,6779
2019-07-26 01:12:36,7.39280891418,21.2449035645,53.1330490112,6777,1049,344,121,143,115,57,16,8,4,4,0,1,0,0,0,20.5,73.9,8.01,4770,4721,6561,6717
2019-07-26 01:27:26.182000,7.30712223053,23.6959571838,75.9636306763,7395,1008,354,98,176,157,74,17,15,11,6,3,0,0,0,0,20.8,74.3,None,0,0,0,0
2019-07-26 01:27:26.313000,7.17372322083,18.729888916,36.8405799866,7445,1144,349,103,133,99,54,10,12,1,1,0,0,0,0,0,20.7,75.1,7.93,4765,4894,6552,6965
2019-07-26 01:30:43,7.91055250168,21.4196052551,51.6014976501,7520,1216,361,93,147,104,55,22,8,1,3,1,1,0,0,0,20.7,75.1,7.93,4765,4894,6552,6965
2019-07-26 01:34:43,7.8411989212,20.1656284332,51.1034469604,7817,1155,329,100,132,101,46,15,12,3,1,3,0,0,0,0,20.9,76,7.99,4779,4786,6536,6743
2019-07-26 01:38:44,7.42475938797,21.6598796844,57.4057807922,7246,1081,307,95,131,121,61,17,15,4,2,1,0,1,0,0,21,75.9,7.97,4775,4870,6551,6869
2019-07-26 01:42:44,7.48143434525,21.8901157379,42.6568832397,6939,1082,315,112,160,121,60,14,11,1,1,0,0,0,0,0,21,75.3,7.99,4778,4831,6556,6847
2019-07-26 01:46:44,7.26750898361,22.1993331909,60.5109710693,6881,1050,307,104,142,114,68,22,14,5,1,3,0,0,0,0,21.1,75.2,7.9,4782,4828,6549,6898
2019-07-26 01:50:44,6.85047578812,18.8710155487,41.8723831177,6661,1018,270,92,136,94,49,15,10,2,1,1,0,0,0,0,21.1,75.2,7.9,4782,4828,6549,6898
2019-07-26 01:54:43,6.40859413147,17.4373645782,40.938835144,6517,978,265,55,102,95,45,15,12,4,1,0,0,0,0,0,21.2,75,7.98,4776,4779,6554,6726
2019-07-26 01:58:44,6.46934318542,15.3326177597,32.9902763367,6638,999,260,84,82,75,41,8,2,2,2,0,1,0,0,0,21.2,75.2,7.98,4777,4827,6558,6670
2019-07-26 02:02:44,6.59226036072,15.1245384216,34.5908203125,6757,1000,281,93,75,72,35,7,8,2,0,1,1,0,0,0,21.2,75.2,7.97,4778,4770,6558,6650
2019-07-26 02:06:44,5.51681900024,12.9471740723,36.6491355896,6640,1061,239,69,86,63,40,11,6,2,1,2,2,0,0,0,21.2,75.5,7.89,4781,4847,6557,6899
2019-07-26 02:10:44,5.47490930557,12.7074766159,27.3605709076,6197,899,241,60,78,57,42,5,3,3,1,0,0,0,0,1,21.2,75.5,7.89,4781,4847,6557,6899
