Timestamp,PM1,PM2.5,PM10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,temperature,humidity,battery,no2_ae,no2_we,o3_ae,o3_we
2019-07-26 00:10:30.519000,7.37252902985,24.9697036743,68.0775909424,5834,805,314,120,176,121,76,15,12,5,1,4,0,0,0,0,20.8,71.5,None,0,0,0,0
2019-07-26 00:10:30.655000,7.12070512772,23.4690685272,53.7982292175,5733,806,317,107,138,133,71,10,6,9,1,0,0,0,0,0,20.8,71.8,7.98,4831,4791,6780,6913
2019-07-26 00:13:28,7.4346113205,26.4733963013,73.89793396,5886,842,292,118,180,132,87,20,9,3,4,4,0,0,0,0,20.8,71.8,7.98,4831,4791,6780,6913
2019-07-26 00:17:27,7.3856086731,25.2984752655,61.8949127197,5868,804,316,127,165,125,70,26,11,5,0,2,0,0,0,0,21,71.6,8.04,4831,4736,6789,6766
2019-07-26 00:21:27,7.63336896896,25.6558151245,66.5793228149,6381,858,324,93,152,148,72,20,10,1,5,1,1,0,0,0,20.9,71.7,8.05,4830,4820,6778,7070
2019-07-26 00:25:28,8.28697967529,30.4586315155,82.9021530151,6417,928,356,139,180,165,98,21,19,6,3,1,1,0,0,0,20.8,72.4,8.04,4828,4775,6794,7132
2019-07-26 00:29:28,8.03902053833,28.1120147705,83.478515625,6479,921,356,114,167,137,86,28,16,10,1,1,1,1,0,0,20.7,73.1,7.95,4833,4764,6781,6932
2019-07-26 00:33:27,8.09448814392,30.0150661469,79.1193847656,6458,889,324,126,189,152,103,21,19,5,2,1,1,0,0,0,20.7,73.1,7.95,4833,4764,6781,6932
2019-07-26 00:37:27,8.10279273987,28.1541137695,82.2748565674,6245,944,351,135,177,151,83,16,18,6,4,2,0,1,0,0,20.7,73,8.03,4831,4741,6773,7016
2019-07-26 00:41:27,7.82732629776,25.9523792267,78.3680343628,6356,893,313,109,193,124,75,8,24,7,2,1,2,0,0,0,20.6,72.8,8.03,4820,4708,6790,6867
2019-07-26 00:45:27,8.1383638382,26.1704902649,64.0808258057,6111,838,317,130,182,114,59,24,12,1,1,3,0,0,0,0,20.5,73,8.03,4832,4748,6791,7064
2019-07-26 00:49:27,7.30482053757,24.7115039825,61.2225265503,6213,842,336,126,176,146,67,19,15,4,1,1,1,0,0,0,20.4,73.5,7.94,4833,4762,6797,6887
2019-07-26 00:53:28,7.62976264954,24.7340526581,68.8201446533,6274,865,297,131,154,134,63,19,10,5,2,4,0,0,0,0,20.4,73.5,7.94,4833,4762,6797,6887
2019-07-26 01:06:22.839000,7.88604831696,27.0235671997,75.5670623779,6244,968,319,121,170,141,70,27,15,10,2,0,1,0,0,0,20.4,73.7,None,0,0,0,0
2019-07-26 01:06:22.957000,7.42449188232,23.3336963654,51.9493217468,6644,924,319,106,179,110,73,14,16,5,0,0,0,0,0,0,20.3,74.4,7.94,4831,4756,6789,6905
2019-07-26 01:09:38,7.58774375916,23.0642795563,48.6860466003,6539,976,356,126,162,120,64,16,11,2,2,0,0,0,0,0,20.3,74.4,7.94,4831,4756,6789,6905
2019-07-26 01:12:24,8.03729343414,24.2807369232,50.4969329834,6776,937,315,110,171,127,62,8,11,6,0,0,0,0,0,0,20.5,75.9,8.02,4831,4787,6789,7030
2019-07-26 01:13:38,7.65984916687,21.150144577,37.6830101013,6766,937,304,94,131,103,56,9,6,2,0,0,0,0,0,0,20.4,75,8.01,4823,4758,6795,6890
2019-07-26 01:21:38,7.60195970535,22.8982791901,58.530216217,6938,1012,313,88,171,130,55,15,14,4,2,1,0,1,0,0,20.6,75.9,8.01,4842,4787,6782,7010
2019-07-26 01:25:38,7.33035039902,20.7807483673,43.9427452087,6760,962,312,104,144,107,55,11,10,4,1,0,0,0,0,0,20.5,76.5,7.92,4833,4756,6789,6867
2019-07-26 01:29:38,7.68450927734,21.9147834778,56.3063011169,7347,1028,322,93,136,100,74,12,10,5,2,1,1,0,0,0,20.5,76.5,7.92,4833,4756,6789,6867
2019-07-26 01:33:38,7.71657133102,19.0228328705,38.9856452942,7544,1160,296,110,102,72,53,15,10,3,0,0,0,0,0,0,20.6,77.2,None,4844,4757,6790,6937
2019-07-26 01:37:38,7.75358533859,20.48878479,60.5756988525,7278,1175,319,86,126,107,51,7,14,5,5,1,1,0,0,0,20.6,77.5,8.01,4841,4783,6802,6880
2019-07-26 01:41:39,7.59279870987,20.9642982483,45.5257797241,7090,1097,307,85,147,104,56,17,4,1,3,0,1,0,0,0,20.6,78,8.01,4837,4753,6802,6799
